tender_id,rule_po_splitting,rule_duplicate_invoice,rule_thin_competition,rule_round_near_threshold,rule_vendor_concentration,rule_new_vendor_large_first,n_rules_triggered,rule_score,rule_reasons
T00140,False,False,False,False,False,False,0,0,
T00141,False,False,False,False,False,False,0,0,
T00142,False,False,False,False,False,False,0,0,
T00143,False,False,False,False,False,False,0,0,
T00144,False,False,False,False,False,False,0,0,
T00145,False,False,False,False,False,False,0,0,
T00146,False,False,False,False,False,False,0,0,
T00147,False,False,False,False,False,False,0,0,
T00148,False,False,False,False,False,False,0,0,
T00149,False,False,False,False,False,False,0,0,
T00150,False,False,False,False,False,False,0,0,
T00151,False,False,False,False,False,False,0,0,
T00152,False,False,False,True,False,False,1,1,"$440,000 is a round number sitting within 15% of the $500,000 limit"
T00153,False,False,False,False,False,False,0,0,
T00154,False,False,False,False,False,False,0,0,
T00155,False,False,False,False,False,False,0,0,
T00156,False,False,False,False,False,False,0,0,
T00157,False,False,False,False,False,False,0,0,
T00158,False,False,False,False,False,False,0,0,
T00159,False,False,False,False,False,False,0,0,
T00160,False,False,False,False,False,False,0,0,
T00161,False,False,False,False,False,False,0,0,
T00162,False,False,False,False,False,False,0,0,
T00163,False,False,False,False,False,False,0,0,
T00164,False,False,False,False,False,False,0,0,
T00165,False,False,False,False,False,False,0,0,
T00166,False,False,False,False,False,False,0,0,
T00167,False,False,False,False,False,False,0,0,
T00168,False,False,False,False,False,False,0,0,
T00169,False,False,False,False,True,False,1,1,Vendor V0193 gets 55% of all its work from buyer E0011 alone
T00170,False,False,False,False,False,False,0,0,
T00171,False,False,False,False,False,False,0,0,
T00172,False,False,False,False,False,False,0,0,
T00173,False,False,False,False,False,False,0,0,
T00174,False,False,False,False,False,False,0,0,
T00175,False,False,True,False,False,False,1,1,"$93,384 awarded via single_source with only 1 bidder(s)"
T00176,False,False,False,False,False,False,0,0,
T00177,False,False,False,False,False,False,0,0,
T00178,False,False,False,False,False,False,0,0,
T00179,False,False,False,False,False,False,0,0,
T00180,False,False,False,False,False,False,0,0,
T00181,False,False,False,False,False,False,0,0,
T00182,False,False,True,False,False,False,1,1,"$68,121 awarded via limited_tender with only 2 bidder(s)"
T00183,False,False,False,False,False,False,0,0,
T00184,False,False,False,False,False,False,0,0,
T00185,False,False,False,False,False,False,0,0,
T00186,False,False,False,False,False,False,0,0,
T00187,False,False,False,False,False,False,0,0,
T00188,False,False,False,False,False,False,0,0,
T00189,False,False,False,False,False,False,0,0,
T00190,False,False,False,False,False,False,0,0,
T00191,False,False,False,False,False,False,0,0,
T00192,False,False,False,False,False,False,0,0,
T00193,False,False,False,False,False,False,0,0,
T00194,False,False,False,False,False,False,0,0,
T00195,False,False,True,False,False,False,1,1,"$103,098 awarded via limited_tender with only 2 bidder(s)"
T00196,False,False,False,False,False,False,0,0,
T00197,False,False,False,False,False,False,0,0,
T00198,False,False,False,False,False,False,0,0,
T00199,False,False,False,False,False,False,0,0,
T00200,False,False,False,False,False,False,0,0,
T00201,False,False,False,False,False,False,0,0,
T00202,False,False,False,False,False,False,0,0,
T00203,False,False,False,False,False,False,0,0,
T00204,False,False,False,False,False,False,0,0,
T00205,False,False,False,False,False,False,0,0,
T00206,False,False,False,False,False,False,0,0,
T00207,False,False,False,False,False,False,0,0,
T00208,False,False,False,False,False,False,0,0,
T00209,False,False,False,False,False,False,0,0,
T00210,False,False,False,False,False,False,0,0,
T00211,False,False,False,False,False,False,0,0,
T00212,False,False,False,False,False,False,0,0,
T00213,False,False,False,False,False,False,0,0,
T00214,False,False,False,False,False,False,0,0,
T00215,False,False,False,False,False,False,0,0,
T00216,False,False,False,False,False,False,0,0,
T00217,False,False,False,False,False,False,0,0,
T00218,False,False,True,False,False,False,1,1,"$82,000 awarded via limited_tender with only 2 bidder(s)"
T00219,False,False,False,False,False,False,0,0,
T00220,False,False,False,False,False,False,0,0,
T00221,False,False,False,False,False,False,0,0,
T00222,False,False,False,False,False,False,0,0,
T00223,False,False,False,False,False,False,0,0,
T00224,False,False,False,False,False,False,0,0,
T00225,False,False,False,False,False,False,0,0,
T00226,False,False,False,False,False,False,0,0,
T00227,False,False,False,False,False,False,0,0,
T00228,False,False,False,False,False,False,0,0,
T00229,False,False,False,False,False,False,0,0,
T00230,False,False,False,False,False,False,0,0,
T00231,False,False,False,False,False,False,0,0,
T00232,False,False,True,False,False,False,1,1,"$55,753 awarded via limited_tender with only 2 bidder(s)"
T00234,False,False,False,False,False,False,0,0,
T00235,False,False,False,False,False,False,0,0,
T00236,False,False,False,False,False,False,0,0,
T00237,False,False,False,False,False,False,0,0,
T00238,False,False,False,False,False,False,0,0,
T00239,False,False,False,False,False,False,0,0,
T00240,False,False,False,False,False,False,0,0,
T00241,False,False,False,False,False,False,0,0,
T00242,False,False,True,False,False,False,1,1,"$78,460 awarded via limited_tender with only 2 bidder(s)"
T00243,False,False,False,False,False,False,0,0,
T00244,False,False,False,False,False,False,0,0,
T00245,False,False,False,False,False,False,0,0,
T00246,False,False,False,False,False,False,0,0,
T00247,False,False,False,False,False,False,0,0,
T00248,False,False,False,False,False,False,0,0,
T00249,False,False,False,False,False,False,0,0,
T00250,False,False,False,False,False,False,0,0,
T00251,False,False,True,False,False,False,1,1,"$110,695 awarded via limited_tender with only 2 bidder(s)"
T00252,False,False,False,False,False,False,0,0,
T00253,False,False,False,False,False,False,0,0,
T00254,False,False,False,False,False,False,0,0,
T00255,False,False,False,False,False,False,0,0,
T00256,False,False,False,False,False,False,0,0,
T00257,False,False,False,False,False,False,0,0,
T00258,False,False,False,False,False,False,0,0,
T00259,False,False,False,False,False,False,0,0,
T00260,False,False,False,False,False,False,0,0,
T00261,False,False,False,False,False,False,0,0,
T00262,False,False,False,False,False,False,0,0,
T00263,False,False,False,False,False,False,0,0,
T00264,False,False,False,False,False,False,0,0,
T00265,False,False,False,False,False,False,0,0,
T00266,False,False,False,False,False,False,0,0,
T00267,False,False,False,False,False,False,0,0,
T00268,False,False,False,False,False,False,0,0,
T00269,False,False,False,False,False,False,0,0,
T00270,False,False,False,False,False,False,0,0,
T00271,False,False,False,False,False,False,0,0,
T00272,False,False,False,False,False,False,0,0,
T00273,False,False,False,False,False,False,0,0,
T00274,False,False,False,False,False,False,0,0,
T00275,False,False,False,False,False,False,0,0,
T00276,False,False,True,False,False,False,1,1,"$100,345 awarded via limited_tender with only 2 bidder(s)"
T00277,False,False,False,False,False,False,0,0,
T00278,False,False,False,False,False,False,0,0,
T00279,False,False,False,False,False,False,0,0,
T00280,False,False,False,False,False,False,0,0,
T00281,False,False,False,False,False,False,0,0,
T00282,False,False,False,False,False,False,0,0,
T00283,False,False,False,False,False,False,0,0,
T00284,False,False,False,False,False,False,0,0,
T00285,False,False,False,False,False,False,0,0,
T00286,False,False,False,False,False,False,0,0,
T00287,False,False,False,False,False,False,0,0,
T00288,False,False,False,False,False,False,0,0,
T00289,False,False,False,False,False,False,0,0,
T00290,False,False,True,False,False,False,1,1,"$84,372 awarded via single_source with only 1 bidder(s)"
T00291,False,False,False,False,False,False,0,0,
T00292,False,False,True,False,False,False,1,1,"$53,836 awarded via single_source with only 1 bidder(s)"
T00293,False,False,False,False,False,False,0,0,
T00294,False,False,True,False,False,False,1,1,"$81,480 awarded via single_source with only 1 bidder(s)"
T00295,False,False,False,False,False,False,0,0,
T00296,False,False,False,False,False,False,0,0,
T00297,False,False,False,False,False,False,0,0,
T00298,False,False,False,False,False,False,0,0,
T00299,False,False,False,False,False,False,0,0,
T00300,False,False,False,False,False,False,0,0,
T00301,False,False,False,False,False,False,0,0,
T00302,False,False,False,False,False,False,0,0,
T00303,False,False,False,False,False,False,0,0,
T00304,False,False,False,False,False,False,0,0,
T00305,False,False,False,False,False,False,0,0,
T00306,False,False,False,False,False,False,0,0,
T00307,False,False,False,False,False,False,0,0,
T00308,False,False,False,False,False,False,0,0,
T00309,False,False,False,False,False,False,0,0,
T00310,False,False,False,False,False,False,0,0,
T00311,False,False,False,False,False,False,0,0,
T00312,False,False,False,False,False,False,0,0,
T00313,False,False,False,False,False,False,0,0,
T00314,False,False,False,False,False,False,0,0,
T00315,False,False,False,False,False,False,0,0,
T00316,False,False,False,False,False,False,0,0,
T00317,False,False,False,True,False,False,1,1,"$440,000 is a round number sitting within 15% of the $500,000 limit"
T00318,False,False,False,False,False,False,0,0,
T00319,False,False,False,False,False,False,0,0,
T00320,False,False,False,False,False,False,0,0,
T00321,False,False,False,False,False,False,0,0,
T00322,False,False,False,True,False,False,1,1,"$96,000 is a round number sitting within 15% of the $100,000 limit"
T00323,False,False,False,False,False,False,0,0,
T00324,False,False,False,False,False,False,0,0,
T00325,False,False,False,False,False,False,0,0,
T00326,False,False,False,False,False,False,0,0,
T00327,False,False,False,False,False,False,0,0,
T00328,False,False,False,False,False,False,0,0,
T00329,False,False,False,False,False,False,0,0,
T00330,False,False,False,False,False,False,0,0,
T00331,False,False,False,False,False,False,0,0,
T00332,False,False,False,False,False,False,0,0,
T00333,False,False,False,False,False,False,0,0,
T00334,False,False,False,False,False,False,0,0,
T00335,False,False,False,False,False,False,0,0,
T00336,False,False,False,False,False,False,0,0,
T00337,False,False,False,False,False,False,0,0,
T00338,False,False,False,False,False,False,0,0,
T00339,False,False,False,False,False,False,0,0,
T00340,False,False,False,False,False,False,0,0,
T00341,False,False,False,False,False,False,0,0,
T00342,False,False,False,False,False,False,0,0,
T00343,False,False,False,False,False,False,0,0,
T00344,False,False,False,False,False,False,0,0,
T00345,False,False,False,False,False,False,0,0,
T00346,False,False,False,False,False,False,0,0,
T00347,False,False,False,False,False,False,0,0,
T00348,False,False,False,False,False,False,0,0,
T00349,False,False,False,False,False,False,0,0,
T00350,False,False,False,False,False,False,0,0,
T00352,False,False,False,False,False,False,0,0,
T00353,False,False,False,False,False,False,0,0,
T00354,False,False,False,False,False,False,0,0,
T00355,False,False,False,False,False,False,0,0,
T00356,False,False,True,False,False,False,1,1,"$63,967 awarded via single_source with only 1 bidder(s)"
T00357,False,False,False,False,False,False,0,0,
T00358,False,False,False,False,False,False,0,0,
T00359,False,False,False,False,False,False,0,0,
T00360,False,False,False,False,False,False,0,0,
T00361,False,False,True,False,False,False,1,1,"$547,720 awarded via limited_tender with only 2 bidder(s)"
T00362,False,False,False,False,False,False,0,0,
T00363,False,False,False,False,False,False,0,0,
T00364,False,False,False,False,False,False,0,0,
T00365,False,False,False,False,False,False,0,0,
T00366,False,False,True,False,False,False,1,1,"$77,282 awarded via single_source with only 1 bidder(s)"
T00367,False,False,False,False,False,False,0,0,
T00368,False,False,False,False,False,False,0,0,
T00369,False,False,False,False,False,False,0,0,
T00370,False,False,False,False,False,False,0,0,
T00371,False,False,False,False,False,False,0,0,
T00372,False,False,False,False,False,False,0,0,
T00373,False,False,False,False,False,False,0,0,
T00374,False,False,False,False,False,False,0,0,
T00375,False,False,False,False,False,False,0,0,
T00376,False,False,False,False,False,False,0,0,
T00377,False,False,False,False,False,False,0,0,
T00378,False,False,False,False,False,False,0,0,
T00379,False,False,False,False,False,False,0,0,
T00380,False,False,False,False,False,False,0,0,
T00381,False,False,False,False,False,False,0,0,
T00382,False,False,False,False,False,False,0,0,
T00383,False,False,False,False,False,False,0,0,
T00384,False,False,False,False,False,False,0,0,
T00385,False,False,False,False,False,False,0,0,
T00386,False,False,False,False,False,False,0,0,
T00387,False,False,False,False,False,False,0,0,
T00388,False,False,True,False,False,False,1,1,"$94,734 awarded via limited_tender with only 2 bidder(s)"
T00389,False,False,False,False,False,False,0,0,
T00390,False,False,False,False,False,False,0,0,
T00391,False,False,False,False,False,False,0,0,
T00392,False,False,True,False,False,False,1,1,"$79,267 awarded via single_source with only 1 bidder(s)"
T00393,False,False,False,False,False,False,0,0,
T00394,False,False,False,False,False,False,0,0,
T00395,False,False,False,False,False,False,0,0,
T00396,False,False,False,False,False,False,0,0,
T00397,False,False,False,False,False,False,0,0,
T00398,False,False,False,False,False,False,0,0,
T00399,False,False,False,False,False,False,0,0,
T00400,False,False,True,False,False,False,1,1,"$52,430 awarded via single_source with only 1 bidder(s)"
T00401,False,False,False,False,False,False,0,0,
T00402,False,False,False,False,False,False,0,0,
T00403,False,False,False,False,False,False,0,0,
T00404,False,False,False,False,False,False,0,0,
T00405,False,False,False,False,False,False,0,0,
T00406,False,False,False,False,False,False,0,0,
T00407,False,False,False,False,False,False,0,0,
T00408,False,False,False,False,False,False,0,0,
T00409,False,False,False,False,False,False,0,0,
T00410,False,False,False,False,False,False,0,0,
T00411,False,False,False,False,False,False,0,0,
T00412,False,False,True,False,False,False,1,1,"$1,100,273 awarded via single_source with only 1 bidder(s)"
T00413,False,False,False,False,False,False,0,0,
T00414,False,False,False,False,False,False,0,0,
T00416,False,False,False,False,False,False,0,0,
T00417,False,False,False,False,False,False,0,0,
T00418,False,False,False,False,False,False,0,0,
T00419,False,False,False,False,False,False,0,0,
T00420,False,False,False,False,False,False,0,0,
T00421,False,False,False,False,False,False,0,0,
T00422,False,False,False,False,False,False,0,0,
T00423,False,False,False,False,False,False,0,0,
T00424,False,False,False,False,False,False,0,0,
T00425,False,False,False,False,False,False,0,0,
T00426,False,False,False,False,False,False,0,0,
T00427,False,False,False,False,False,False,0,0,
T00428,False,False,False,False,False,False,0,0,
T00429,False,False,False,False,False,False,0,0,
T00430,False,False,False,False,False,False,0,0,
T00431,False,False,False,False,False,False,0,0,
T00432,False,False,False,False,False,False,0,0,
T00433,False,False,False,False,False,False,0,0,
T00434,False,False,False,False,False,False,0,0,
T00435,False,False,False,False,False,False,0,0,
T00436,False,False,False,False,False,False,0,0,
T00437,False,False,False,False,False,False,0,0,
T00438,False,False,False,False,False,False,0,0,
T00439,False,False,False,False,False,False,0,0,
T00440,False,False,False,False,False,False,0,0,
T00441,False,False,True,False,False,False,1,1,"$103,256 awarded via limited_tender with only 2 bidder(s)"
T00442,False,False,False,False,False,False,0,0,
T00443,False,False,False,False,False,False,0,0,
T00444,False,False,False,False,False,False,0,0,
T00445,False,False,False,False,False,False,0,0,
T00446,False,False,False,False,False,False,0,0,
T00447,False,False,False,False,False,False,0,0,
T00448,False,False,True,False,False,False,1,1,"$86,661 awarded via limited_tender with only 2 bidder(s)"
T00449,False,False,False,False,False,False,0,0,
T00450,False,False,True,False,False,False,1,1,"$597,154 awarded via single_source with only 1 bidder(s)"
T00451,False,False,False,False,False,False,0,0,
T00452,False,False,False,False,False,False,0,0,
T00453,False,False,False,False,False,False,0,0,
T00454,False,False,False,False,False,False,0,0,
T00455,False,False,False,False,False,False,0,0,
T00456,False,False,False,False,False,False,0,0,
T00457,False,False,False,False,False,False,0,0,
T00459,False,False,False,False,False,False,0,0,
T00460,False,False,False,False,False,False,0,0,
T00461,False,False,False,False,False,False,0,0,
T00462,False,False,False,False,False,False,0,0,
T00463,False,False,False,False,False,False,0,0,
T00464,False,False,True,False,False,False,1,1,"$377,235 awarded via limited_tender with only 2 bidder(s)"
T00465,False,False,False,False,False,False,0,0,
T00466,False,False,False,False,False,False,0,0,
T00467,False,False,False,False,False,False,0,0,
T00468,False,False,False,False,False,False,0,0,
T00469,False,False,False,False,False,False,0,0,
T00470,False,False,False,False,False,False,0,0,
T00471,False,False,True,False,False,False,1,1,"$225,155 awarded via limited_tender with only 2 bidder(s)"
T00472,False,False,False,False,False,False,0,0,
T00473,False,False,False,False,False,False,0,0,
T00474,False,False,False,False,False,False,0,0,
T00475,False,False,False,False,False,False,0,0,
T00476,False,False,True,False,False,False,1,1,"$120,600 awarded via limited_tender with only 2 bidder(s)"
T00477,False,False,False,False,False,False,0,0,
T00478,False,False,False,False,False,False,0,0,
T00479,False,False,True,False,False,False,1,1,"$60,768 awarded via single_source with only 1 bidder(s)"
T00480,False,False,False,False,False,False,0,0,
T00481,False,False,False,False,False,False,0,0,
T00482,False,False,True,False,True,False,2,2,"$69,598 awarded via single_source with only 2 bidder(s) | Vendor V0261 gets 50% of all its work from buyer E0008 alone"
T00483,False,False,False,False,False,False,0,0,
T00484,False,False,False,False,False,False,0,0,
T00485,False,False,False,False,False,False,0,0,
T00486,False,False,False,False,False,False,0,0,
T00487,False,False,False,False,False,False,0,0,
T00488,False,False,False,False,False,False,0,0,
T00489,False,False,False,False,False,False,0,0,
T00490,False,False,False,False,False,False,0,0,
T00491,False,False,False,False,False,False,0,0,
T00492,False,False,False,False,False,False,0,0,
T00493,False,False,False,False,False,False,0,0,
T00494,False,False,False,False,False,False,0,0,
T00495,False,False,False,False,False,False,0,0,
T00496,False,False,False,False,False,False,0,0,
T00498,False,False,False,False,False,False,0,0,
T00499,False,False,False,False,False,False,0,0,
T00500,False,False,False,False,False,False,0,0,
T00501,False,False,False,False,False,False,0,0,
T00503,False,False,False,True,False,False,1,1,"$460,000 is a round number sitting within 15% of the $500,000 limit"
T00504,False,False,False,False,False,False,0,0,
T00505,False,False,False,False,False,False,0,0,
T00506,False,False,False,False,False,False,0,0,
T00507,False,False,True,False,False,False,1,1,"$50,000 awarded via limited_tender with only 2 bidder(s)"
T00508,False,False,False,False,False,False,0,0,
T00509,False,False,False,False,False,False,0,0,
T00510,False,False,False,False,False,False,0,0,
T00511,False,False,False,False,False,False,0,0,
T00512,False,False,False,False,False,False,0,0,
T00513,False,False,False,False,False,False,0,0,
T00514,False,False,False,False,False,False,0,0,
T00515,False,False,False,False,False,False,0,0,
T00516,False,False,False,False,False,False,0,0,
T00517,False,False,False,False,False,False,0,0,
T00518,False,False,False,False,False,False,0,0,
T00519,False,False,False,False,False,False,0,0,
T00520,False,False,False,False,False,False,0,0,
T00521,False,False,False,False,False,False,0,0,
T00522,False,False,False,False,False,False,0,0,
T00523,False,False,False,False,False,False,0,0,
T00524,False,False,True,False,False,False,1,1,"$146,224 awarded via limited_tender with only 2 bidder(s)"
T00525,False,False,False,False,False,False,0,0,
T00526,False,False,False,False,False,False,0,0,
T00528,False,False,False,False,False,False,0,0,
T00529,False,False,False,False,False,False,0,0,
T00530,False,False,False,False,True,False,1,1,Vendor V0217 gets 60% of all its work from buyer E0016 alone
T00531,False,False,False,False,False,False,0,0,
T00532,False,False,False,False,False,False,0,0,
T00533,False,False,False,False,False,False,0,0,
T00534,False,False,False,False,False,False,0,0,
T00535,False,False,False,False,False,False,0,0,
T00536,False,False,False,False,False,False,0,0,
T00537,False,False,False,False,False,False,0,0,
T00538,False,False,True,False,False,False,1,1,"$62,006 awarded via limited_tender with only 2 bidder(s)"
T00539,False,False,False,False,False,False,0,0,
T00540,False,False,False,False,False,False,0,0,
T00541,False,False,False,False,False,False,0,0,
T00542,False,False,False,False,False,False,0,0,
T00543,False,False,False,False,False,False,0,0,
T00544,False,False,False,False,False,False,0,0,
T00545,False,False,False,False,False,False,0,0,
T00546,False,False,False,False,False,False,0,0,
T00547,False,True,False,False,False,False,1,1,"Same vendor billed $6,041 twice, 47 days apart (invoices INV02396 / INV00547)"
T00548,False,False,False,False,False,False,0,0,
T00549,False,False,False,False,False,False,0,0,
T00550,False,False,False,False,False,False,0,0,
T00551,False,False,False,False,False,False,0,0,
T00552,False,False,False,False,False,False,0,0,
T00553,False,False,False,False,False,False,0,0,
T00554,False,False,False,False,False,False,0,0,
T00555,False,False,False,False,False,False,0,0,
T00556,False,False,False,False,False,False,0,0,
T00557,False,False,False,False,False,False,0,0,
T00558,False,False,False,False,False,False,0,0,
T00559,False,False,False,False,False,False,0,0,
T00560,False,False,False,False,False,False,0,0,
T00561,False,False,False,False,False,False,0,0,
T00562,False,False,False,False,False,False,0,0,
T00563,False,False,False,False,False,False,0,0,
T00564,False,False,False,False,False,False,0,0,
T00565,False,False,False,False,False,False,0,0,
T00566,False,False,False,False,False,False,0,0,
T00567,False,False,False,False,False,False,0,0,
T00568,False,False,False,False,False,False,0,0,
T00569,False,False,False,False,False,False,0,0,
T00570,False,False,False,False,False,False,0,0,
T00571,False,False,False,False,False,False,0,0,
T00572,False,False,False,False,False,False,0,0,
T00573,False,False,False,False,False,False,0,0,
T00574,False,False,True,False,False,False,1,1,"$241,859 awarded via limited_tender with only 2 bidder(s)"
T00575,False,False,False,False,False,False,0,0,
T00576,False,False,False,False,False,False,0,0,
T00577,False,False,False,False,False,False,0,0,
T00578,False,False,False,False,False,False,0,0,
T00579,False,False,False,False,False,False,0,0,
T00580,False,False,False,False,False,False,0,0,
T00581,False,False,False,False,False,False,0,0,
T00582,False,False,False,False,False,False,0,0,
T00583,False,False,False,False,False,False,0,0,
T00584,False,False,False,False,False,False,0,0,
T00585,False,False,False,False,False,False,0,0,
T00586,False,False,False,False,False,False,0,0,
T00587,False,False,False,False,False,False,0,0,
T00588,False,False,False,False,False,False,0,0,
T00589,False,False,True,True,True,False,3,3,"$88,000 awarded via limited_tender with only 1 bidder(s) | $88,000 is a round number sitting within 15% of the $100,000 limit | Vendor V0193 gets 55% of all its work from buyer E0011 alone"
T00590,False,False,False,False,False,False,0,0,
T00591,False,False,False,False,False,False,0,0,
T00592,False,False,False,False,False,False,0,0,
T00593,False,False,False,False,False,False,0,0,
T00594,False,False,False,False,False,False,0,0,
T00595,False,False,False,False,False,False,0,0,
T00596,False,False,False,False,False,False,0,0,
T00597,False,False,False,False,False,False,0,0,
T00598,False,False,False,False,False,False,0,0,
