bid_id,tender_id,vendor_id,bid_amount,is_winner
T00020-B1,T00020,V0272,195813.28,False
T00020-B2,T00020,V0050,181713.0,True
T00021-B0,T00021,V0247,106091.73,False
T00021-B1,T00021,V0134,103038.91,True
T00021-B2,T00021,V0149,106197.41,False
T00022-B0,T00022,V0274,6076.02,True
T00022-B1,T00022,V0133,7712.74,False
T00022-B2,T00022,V0279,7575.76,False
T00023-B0,T00023,V0184,92853.49,True
T00023-B1,T00023,V0064,97000.88,False
T00024-B0,T00024,V0053,13876.67,False
T00024-B1,T00024,V0114,10662.33,False
T00024-B2,T00024,V0151,9355.34,True
T00025-B0,T00025,V0200,10343.11,False
T00025-B1,T00025,V0263,9459.86,False
T00025-B2,T00025,V0118,10154.79,False
T00025-B3,T00025,V0203,7000.0,True
T00025-B4,T00025,V0273,10236.09,False
T00025-B5,T00025,V0282,9589.72,False
T00025-B6,T00025,V0258,10013.73,False
T00026-B0,T00026,V0111,13530.52,False
T00026-B1,T00026,V0021,12120.68,False
T00026-B2,T00026,V0196,12036.48,True
T00027-B0,T00027,V0121,126310.32,False
T00027-B1,T00027,V0208,116962.55,False
T00027-B2,T00027,V0242,126924.68,False
T00027-B3,T00027,V0210,124996.03,False
T00027-B4,T00027,V0174,133479.32,False
T00027-B5,T00027,V0190,114473.63,True
T00027-B6,T00027,V0072,121613.98,False
T00028-B0,T00028,V0142,75738.59,False
T00028-B1,T00028,V0209,66846.32,False
T00028-B2,T00028,V0230,55267.94,True
T00029-B0,T00029,V0032,45848.5,False
T00029-B1,T00029,V0241,50813.99,False
T00029-B2,T00029,V0161,53471.51,False
T00029-B3,T00029,V0079,51755.93,False
T00029-B4,T00029,V0180,52564.84,False
T00029-B5,T00029,V0053,42000.0,True
T00029-B6,T00029,V0029,53550.2,False
T00030-B0,T00030,V0208,53886.39,False
T00030-B1,T00030,V0242,48115.1,False
T00030-B2,T00030,V0070,41539.96,True
T00031-B0,T00031,V0064,46181.52,False
T00031-B1,T00031,V0080,51909.85,False
T00031-B2,T00031,V0041,42511.41,True
T00032-B0,T00032,V0205,73866.0,True
T00032-B1,T00032,V0025,81037.95,False
T00032-B2,T00032,V0162,100164.99,False
T00033-B0,T00033,V0125,40828.89,False
T00033-B1,T00033,V0187,38180.25,True
T00033-B2,T00033,V0076,41633.18,False
T00033-B3,T00033,V0042,43737.58,False
T00033-B4,T00033,V0110,40451.77,False
T00034-B0,T00034,V0002,14890.78,False
T00034-B1,T00034,V0192,15202.35,False
T00034-B2,T00034,V0133,12769.49,True
T00034-B3,T00034,V0280,13572.02,False
T00034-B4,T00034,V0181,13483.58,False
T00034-B5,T00034,V0104,15122.24,False
T00034-B6,T00034,V0154,13955.1,False
T00035-B0,T00035,V0250,74042.28,False
T00035-B1,T00035,V0023,70397.19,False
T00035-B2,T00035,V0261,65235.06,False
T00035-B3,T00035,V0247,68121.05,False
T00035-B4,T00035,V0268,70081.4,False
T00035-B5,T00035,V0013,69705.98,False
T00035-B6,T00035,V0204,56759.25,True
T00037-B0,T00037,V0116,445068.41,False
T00037-B1,T00037,V0025,421000.0,True
T00037-B2,T00037,V0124,477479.0,False
T00038-B0,T00038,V0244,44304.86,False
T00038-B1,T00038,V0150,38000.0,True
T00038-B2,T00038,V0024,38748.84,False
T00038-B3,T00038,V0046,42810.32,False
T00039-B0,T00039,V0251,35050.01,False
T00039-B1,T00039,V0053,27000.0,True
T00040-B0,T00040,V0089,2599.68,False
T00040-B1,T00040,V0175,2528.67,True
T00041-B0,T00041,V0260,7715.97,True
T00041-B1,T00041,V0072,9441.49,False
T00041-B2,T00041,V0226,10289.1,False
T00041-B3,T00041,V0249,9250.86,False
T00041-B4,T00041,V0158,8780.29,False
T00042-B0,T00042,V0210,104000.0,True
T00042-B1,T00042,V0226,115876.08,False
T00043-B0,T00043,V0105,31186.64,False
T00043-B1,T00043,V0197,32633.27,False
T00043-B2,T00043,V0120,28156.93,True
T00043-B3,T00043,V0182,33986.26,False
T00043-B4,T00043,V0229,30184.19,False
T00043-B5,T00043,V0103,32610.72,False
T00044-B0,T00044,V0293,8090.34,False
T00044-B1,T00044,V0147,6972.52,True
T00044-B2,T00044,V0144,7341.38,False
T00045-B0,T00045,V0194,114304.27,False
T00045-B1,T00045,V0041,107190.73,False
T00045-B2,T00045,V0162,91120.73,True
T00046-B0,T00046,V0030,18515.66,True
T00047-B0,T00047,V0134,151145.59,False
T00047-B1,T00047,V0281,143340.7,True
T00047-B2,T00047,V0149,164285.48,False
T00048-B0,T00048,V0243,48656.61,False
T00048-B1,T00048,V0047,53763.9,False
T00048-B2,T00048,V0186,54134.46,False
T00048-B3,T00048,V0271,47729.96,False
T00048-B4,T00048,V0198,51766.54,False
T00048-B5,T00048,V0019,47670.93,True
T00048-B6,T00048,V0026,55320.9,False
T00049-B0,T00049,V0103,4271.45,True
T00049-B1,T00049,V0078,5046.68,False
T00049-B2,T00049,V0215,4719.08,False
T00049-B3,T00049,V0120,4417.78,False
T00050-B0,T00050,V0016,33000.37,False
T00050-B1,T00050,V0172,32175.91,True
T00050-B2,T00050,V0094,37607.97,False
T00050-B3,T00050,V0240,43972.49,False
T00050-B4,T00050,V0230,37324.25,False
T00051-B0,T00051,V0192,16634.63,True
T00052-B0,T00052,V0019,7118.9,False
T00052-B1,T00052,V0026,6235.73,False
T00052-B2,T00052,V0175,5938.0,True
T00053-B0,T00053,V0204,219290.46,False
T00053-B1,T00053,V0001,201275.48,False
T00053-B2,T00053,V0220,165448.37,True
T00053-B3,T00053,V0254,197017.2,False
T00053-B4,T00053,V0074,203782.89,False
T00053-B5,T00053,V0095,201432.47,False
T00053-B6,T00053,V0023,202545.14,False
T00054-B0,T00054,V0194,129154.82,False
T00054-B1,T00054,V0025,150745.37,False
T00054-B2,T00054,V0082,112458.91,True
T00054-B3,T00054,V0221,127829.38,False
T00054-B4,T00054,V0050,115265.14,False
T00054-B5,T00054,V0205,118430.46,False
T00054-B6,T00054,V0211,124662.25,False
T00055-B0,T00055,V0290,160808.15,False
T00055-B1,T00055,V0222,111000.0,True
T00055-B2,T00055,V0052,148381.07,False
T00055-B3,T00055,V0001,130406.28,False
T00056-B0,T00056,V0294,68000.0,True
T00056-B1,T00056,V0082,91054.96,False
T00056-B2,T00056,V0194,93819.99,False
T00057-B0,T00057,V0082,1011281.86,False
T00057-B1,T00057,V0272,913399.32,True
T00057-B2,T00057,V0205,1130126.56,False
T00058-B0,T00058,V0147,31453.65,False
T00058-B1,T00058,V0144,29685.43,False
T00058-B2,T00058,V0274,30870.67,False
T00058-B3,T00058,V0296,27051.31,True
T00058-B4,T00058,V0181,36257.28,False
T00058-B5,T00058,V0264,30492.77,False
T00058-B6,T00058,V0034,36080.51,False
T00059-B0,T00059,V0267,12706.58,False
T00059-B1,T00059,V0105,11690.4,False
T00059-B2,T00059,V0252,12599.46,False
T00059-B3,T00059,V0265,12008.76,False
T00059-B4,T00059,V0039,10282.64,True
T00059-B5,T00059,V0003,12226.67,False
T00060-B0,T00060,V0055,2493.71,False
T00060-B1,T00060,V0258,2188.71,True
T00060-B2,T00060,V0083,2368.87,False
T00060-B3,T00060,V0286,2201.33,False
T00061-B0,T00061,V0194,257994.24,True
T00062-B0,T00062,V0020,5295.86,True
T00063-B0,T00063,V0151,17953.56,False
T00063-B1,T00063,V0129,18292.63,False
T00063-B2,T00063,V0015,16894.69,False
T00063-B3,T00063,V0152,17285.1,False
T00063-B4,T00063,V0053,15806.35,False
T00063-B5,T00063,V0079,15000.0,True
T00063-B6,T00063,V0073,18465.73,False
T00064-B0,T00064,V0263,16851.3,True
T00064-B1,T00064,V0107,17516.74,False
T00064-B2,T00064,V0253,16939.65,False
T00065-B0,T00065,V0151,82482.05,False
T00065-B1,T00065,V0091,84240.91,False
T00065-B2,T00065,V0178,74394.63,True
T00066-B0,T00066,V0124,474842.62,False
T00066-B1,T00066,V0087,457751.23,True
T00066-B2,T00066,V0080,479927.79,False
T00067-B0,T00067,V0239,20349.1,True
T00067-B1,T00067,V0234,23675.52,False
T00068-B0,T00068,V0066,7692.91,True
T00068-B1,T00068,V0059,9260.86,False
T00068-B2,T00068,V0169,9372.59,False
T00068-B3,T00068,V0105,9856.4,False
T00069-B0,T00069,V0204,17543.09,False
T00069-B1,T00069,V0130,18217.95,False
T00069-B2,T00069,V0051,21371.89,False
T00069-B3,T00069,V0188,17246.53,True
T00069-B4,T00069,V0113,17275.53,False
T00071-B0,T00071,V0083,3005.19,True
T00071-B1,T00071,V0193,3079.63,False
T00071-B2,T00071,V0223,3496.06,False
T00073-B0,T00073,V0285,27656.87,False
T00073-B1,T00073,V0130,24175.66,False
T00073-B2,T00073,V0102,22578.06,True
T00073-B3,T00073,V0095,25203.59,False
T00073-B4,T00073,V0013,26352.31,False
T00074-B0,T00074,V0154,32727.85,False
T00074-B1,T00074,V0086,33514.12,False
T00074-B2,T00074,V0279,31783.91,False
T00074-B3,T00074,V0274,28471.69,False
T00074-B4,T00074,V0217,30173.15,False
T00074-B5,T00074,V0296,27883.09,False
T00074-B6,T00074,V0090,27671.14,True
T00075-B0,T00075,V0043,11220.72,False
T00075-B1,T00075,V0298,10063.37,True
T00075-B2,T00075,V0129,10696.57,False
T00075-B3,T00075,V0233,10865.61,False
T00075-B4,T00075,V0292,10348.15,False
T00076-B0,T00076,V0111,38223.07,False
T00076-B1,T00076,V0168,38295.66,False
T00076-B2,T00076,V0054,30000.0,True
T00076-B3,T00076,V0021,35086.24,False
T00077-B0,T00077,V0063,3160.27,True
T00077-B1,T00077,V0186,3971.53,False
T00077-B2,T00077,V0045,3942.11,False
T00077-B3,T00077,V0271,3805.76,False
T00078-B0,T00078,V0251,9156.05,False
T00078-B1,T00078,V0228,8812.17,False
T00078-B2,T00078,V0146,9448.85,False
T00078-B3,T00078,V0241,8850.63,False
T00078-B4,T00078,V0057,8690.73,True
T00078-B5,T00078,V0119,9534.44,False
T00078-B6,T00078,V0114,8912.98,False
T00080-B0,T00080,V0233,8057.8,False
T00080-B1,T00080,V0180,8441.42,False
T00080-B2,T00080,V0088,8066.53,False
T00080-B3,T00080,V0073,7590.57,True
T00080-B4,T00080,V0053,9194.93,False
T00080-B5,T00080,V0136,9208.6,False
T00081-B0,T00081,V0293,7979.61,False
T00081-B1,T00081,V0181,7143.6,True
T00081-B2,T00081,V0133,7608.54,False
T00082-B0,T00082,V0131,27544.18,True
T00082-B1,T00082,V0166,31367.44,False
T00083-B0,T00083,V0019,20910.73,False
T00083-B1,T00083,V0026,19528.43,True
T00085-B0,T00085,V0187,18518.33,True
T00086-B0,T00086,V0274,8844.42,False
T00086-B1,T00086,V0181,8631.16,True
T00086-B2,T00086,V0245,8736.16,False
T00087-B0,T00087,V0251,38245.09,False
T00087-B1,T00087,V0088,40051.55,False
T00087-B2,T00087,V0114,39489.97,False
T00087-B3,T00087,V0178,39030.23,False
T00087-B4,T00087,V0127,36000.0,True
T00087-B5,T00087,V0029,37762.99,False
T00088-B0,T00088,V0270,43761.45,False
T00088-B1,T00088,V0102,43748.22,False
T00088-B2,T00088,V0095,50756.18,False
T00088-B3,T00088,V0139,39055.35,True
T00089-B0,T00089,V0149,55955.13,True
T00089-B1,T00089,V0113,64071.78,False
T00090-B0,T00090,V0242,39418.38,True
T00091-B0,T00091,V0253,4417.68,False
T00091-B1,T00091,V0183,3000.0,True
T00091-B2,T00091,V0107,4622.96,False
T00091-B3,T00091,V0282,4701.79,False
T00091-B4,T00091,V0286,4111.88,False
T00091-B5,T00091,V0231,4328.73,False
T00092-B0,T00092,V0007,6000.0,True
T00092-B1,T00092,V0063,6617.84,False
T00094-B0,T00094,V0034,8592.6,False
T00094-B1,T00094,V0153,7783.6,False
T00094-B2,T00094,V0264,6000.0,True
T00094-B3,T00094,V0245,6987.46,False
T00094-B4,T00094,V0207,7081.63,False
T00094-B5,T00094,V0147,7772.44,False
T00094-B6,T00094,V0279,8505.34,False
T00095-B0,T00095,V0071,15514.16,True
T00096-B0,T00096,V0201,4835.52,False
T00096-B1,T00096,V0198,5304.76,False
T00096-B2,T00096,V0117,5267.4,False
T00096-B3,T00096,V0000,4025.78,True
T00096-B4,T00096,V0256,4695.49,False
T00098-B0,T00098,V0031,16351.76,False
T00098-B1,T00098,V0089,14252.27,True
T00099-B0,T00099,V0062,57212.23,False
T00099-B1,T00099,V0072,53488.28,True
T00099-B2,T00099,V0174,53558.7,False
T00099-B3,T00099,V0157,61689.71,False
T00100-B0,T00100,V0297,16076.14,False
T00100-B1,T00100,V0021,16455.81,False
T00100-B2,T00100,V0216,15780.9,False
T00100-B3,T00100,V0168,13000.0,True
T00100-B4,T00100,V0206,16817.43,False
T00100-B5,T00100,V0237,16554.38,False
T00100-B6,T00100,V0219,15626.01,False
T00101-B0,T00101,V0009,4808.24,True
T00101-B1,T00101,V0000,5314.73,False
T00101-B2,T00101,V0287,5185.23,False
T00102-B0,T00102,V0125,10521.34,False
T00102-B1,T00102,V0037,7916.66,True
T00102-B2,T00102,V0110,10652.13,False
T00103-B0,T00103,V0235,20701.67,True
T00104-B0,T00104,V0048,36860.46,True
T00104-B1,T00104,V0288,41281.82,False
T00104-B2,T00104,V0168,37425.64,False
T00104-B3,T00104,V0094,36893.47,False
T00105-B0,T00105,V0079,93806.77,True
T00106-B0,T00106,V0188,60561.82,False
T00106-B1,T00106,V0113,56432.99,True
T00107-B0,T00107,V0100,18505.92,True
T00107-B1,T00107,V0125,21810.52,False
T00107-B2,T00107,V0225,18644.15,False
T00108-B0,T00108,V0278,232654.9,False
T00108-B1,T00108,V0004,222677.43,True
T00108-B2,T00108,V0116,320371.37,False
T00109-B0,T00109,V0071,23383.41,True
T00109-B1,T00109,V0069,33636.4,False
T00109-B2,T00109,V0017,25029.65,False
T00110-B0,T00110,V0024,122227.62,False
T00110-B1,T00110,V0112,117253.03,False
T00110-B2,T00110,V0131,116322.33,True
T00110-B3,T00110,V0070,127644.27,False
T00111-B0,T00111,V0050,27641.59,True
T00111-B1,T00111,V0116,28493.48,False
T00112-B0,T00112,V0072,26077.02,True
T00113-B0,T00113,V0054,6797.37,False
T00113-B1,T00113,V0216,6563.1,False
T00113-B2,T00113,V0021,5976.23,True
T00113-B3,T00113,V0172,8228.2,False
T00113-B4,T00113,V0168,7103.83,False
T00113-B5,T00113,V0262,7215.62,False
T00113-B6,T00113,V0257,6411.84,False
T00114-B0,T00114,V0235,26446.66,True
T00114-B1,T00114,V0289,26897.85,False
T00115-B0,T00115,V0236,3624.1,False
T00115-B1,T00115,V0159,3112.7,True
T00115-B2,T00115,V0200,3537.15,False
T00116-B0,T00116,V0056,14534.65,False
T00116-B1,T00116,V0154,14276.36,False
T00116-B2,T00116,V0067,13776.01,False
T00116-B3,T00116,V0020,10977.3,True
T00116-B4,T00116,V0274,11906.4,False
T00116-B5,T00116,V0086,11511.99,False
T00116-B6,T00116,V0133,13727.63,False
T00117-B0,T00117,V0014,94439.86,False
T00117-B1,T00117,V0011,75096.89,False
T00117-B2,T00117,V0184,78896.03,False
T00117-B3,T00117,V0082,90206.53,False
T00117-B4,T00117,V0004,68457.11,True
T00117-B5,T00117,V0299,86973.84,False
T00118-B0,T00118,V0001,26455.6,False
T00118-B1,T00118,V0134,23000.0,True
T00119-B0,T00119,V0011,228044.06,False
T00119-B1,T00119,V0221,221128.14,False
T00119-B2,T00119,V0124,283724.1,False
T00119-B3,T00119,V0041,209664.89,True
T00119-B4,T00119,V0194,235121.1,False
T00119-B5,T00119,V0025,211189.82,False
T00119-B6,T00119,V0299,269087.8,False
T00120-B0,T00120,V0211,133290.01,False
T00120-B1,T00120,V0205,130713.07,False
T00120-B2,T00120,V0299,128537.02,True
T00121-B0,T00121,V0252,6786.27,True
T00121-B1,T00121,V0267,8855.45,False
T00121-B2,T00121,V0039,8214.98,False
T00121-B3,T00121,V0059,7360.74,False
T00121-B4,T00121,V0106,9586.33,False
T00121-B5,T00121,V0036,7516.73,False
T00122-B0,T00122,V0180,56216.74,False
T00122-B1,T00122,V0129,51178.51,False
T00122-B2,T00122,V0151,50506.07,False
T00122-B3,T00122,V0073,42965.29,True
T00122-B4,T00122,V0091,46515.24,False
T00122-B5,T00122,V0136,53664.37,False
T00122-B6,T00122,V0079,51291.52,False
T00123-B0,T00123,V0011,681357.77,True
T00123-B1,T00123,V0272,800873.95,False
T00123-B2,T00123,V0124,830854.87,False
T00123-B3,T00123,V0278,728192.24,False
T00124-B0,T00124,V0080,140252.47,True
T00124-B1,T00124,V0211,167964.52,False
T00124-B2,T00124,V0194,142414.63,False
T00124-B3,T00124,V0124,142247.93,False
T00124-B4,T00124,V0221,158239.45,False
T00124-B5,T00124,V0050,179973.12,False
T00124-B6,T00124,V0041,177567.81,False
T00125-B0,T00125,V0050,6277.33,False
T00125-B1,T00125,V0162,6563.03,False
T00125-B2,T00125,V0082,6442.01,False
T00125-B3,T00125,V0124,6103.75,True
T00125-B4,T00125,V0025,7179.73,False
T00125-B5,T00125,V0184,6359.03,False
T00125-B6,T00125,V0064,6436.92,False
T00126-B0,T00126,V0167,21590.44,False
T00126-B1,T00126,V0216,21669.38,False
T00126-B2,T00126,V0160,23723.14,False
T00126-B3,T00126,V0240,17105.84,True
T00126-B4,T00126,V0230,19680.43,False
T00127-B0,T00127,V0071,55136.82,False
T00127-B1,T00127,V0100,49814.15,False
T00127-B2,T00127,V0069,46575.31,False
T00127-B3,T00127,V0173,46119.89,True
T00127-B4,T00127,V0097,48955.32,False
T00128-B0,T00128,V0289,27750.46,True
T00128-B1,T00128,V0229,34737.09,False
T00128-B2,T00128,V0078,49153.61,False
T00128-B3,T00128,V0195,40889.82,False
T00128-B4,T00128,V0012,34338.47,False
T00128-B5,T00128,V0066,38446.67,False
T00129-B0,T00129,V0196,8746.62,True
T00129-B1,T00129,V0137,8953.37,False
T00130-B0,T00130,V0128,119483.2,False
T00130-B1,T00130,V0188,119204.01,False
T00130-B2,T00130,V0077,109710.07,True
T00130-B3,T00130,V0254,119006.75,False
T00130-B4,T00130,V0275,110551.44,False
T00131-B0,T00131,V0021,13930.4,False
T00131-B1,T00131,V0266,12887.61,True
T00131-B2,T00131,V0160,14832.41,False
T00131-B3,T00131,V0209,16256.32,False
T00131-B4,T00131,V0122,14315.42,False
T00132-B0,T00132,V0275,5165.2,True
T00133-B0,T00133,V0049,5107.05,True
T00134-B0,T00134,V0071,45008.82,False
T00134-B1,T00134,V0239,44887.44,False
T00134-B2,T00134,V0017,40477.82,True
T00134-B3,T00134,V0100,43198.06,False
T00134-B4,T00134,V0187,45305.84,False
T00135-B0,T00135,V0113,94765.85,False
T00135-B1,T00135,V0139,87757.43,False
T00135-B2,T00135,V0270,83591.53,True
T00135-B3,T00135,V0149,95943.73,False
T00136-B0,T00136,V0136,1692.44,True
T00136-B1,T00136,V0146,1851.69,False
T00136-B2,T00136,V0161,1794.78,False
T00136-B3,T00136,V0079,1907.14,False
T00136-B4,T00136,V0044,2071.36,False
T00137-B0,T00137,V0042,2000.0,True
T00137-B1,T00137,V0173,3002.1,False
T00138-B0,T00138,V0017,15907.28,False
T00138-B1,T00138,V0108,16684.24,False
T00138-B2,T00138,V0071,13606.77,True
T00139-B0,T00139,V0149,31847.52,True
T00139-B1,T00139,V0128,33996.68,False
T00140-B0,T00140,V0226,98465.05,False
T00140-B1,T00140,V0070,134356.1,False
T00140-B2,T00140,V0255,118131.86,False
T00140-B3,T00140,V0179,85121.8,True
T00141-B0,T00141,V0037,17850.61,True
T00141-B1,T00141,V0101,20764.81,False
T00142-B0,T00142,V0279,2037.48,True
T00142-B1,T00142,V0153,3174.16,False
T00142-B2,T00142,V0090,2928.92,False
T00143-B0,T00143,V0216,29015.43,False
T00143-B1,T00143,V0209,27482.43,True
T00144-B0,T00144,V0192,9738.2,False
T00144-B1,T00144,V0090,9948.0,False
T00144-B2,T00144,V0086,7472.15,True
T00144-B3,T00144,V0153,11616.03,False
T00145-B0,T00145,V0242,5266.3,False
T00145-B1,T00145,V0174,4883.27,False
T00145-B2,T00145,V0260,5404.66,False
T00145-B3,T00145,V0269,5571.97,False
T00145-B4,T00145,V0255,5085.1,False
T00145-B5,T00145,V0249,5618.94,False
T00145-B6,T00145,V0171,4842.39,True
T00146-B0,T00146,V0188,129024.03,False
T00146-B1,T00146,V0095,125807.95,False
T00146-B2,T00146,V0134,109616.36,True
T00147-B0,T00147,V0091,11687.47,False
T00147-B1,T00147,V0298,12064.77,False
T00147-B2,T00147,V0136,10370.86,True
T00148-B0,T00148,V0149,18941.28,False
T00148-B1,T00148,V0074,16090.63,True
T00148-B2,T00148,V0199,16374.9,False
T00148-B3,T00148,V0077,16668.66,False
T00149-B0,T00149,V0059,7569.97,True
T00149-B1,T00149,V0169,8130.4,False
T00150-B0,T00150,V0153,17128.38,False
T00150-B1,T00150,V0147,15687.24,False
T00150-B2,T00150,V0296,14540.0,False
T00150-B3,T00150,V0056,12049.44,True
T00150-B4,T00150,V0018,15325.67,False
T00150-B5,T00150,V0061,15257.47,False
T00151-B0,T00151,V0109,5617.08,False
T00151-B1,T00151,V0000,5068.01,False
T00151-B2,T00151,V0117,4149.26,True
T00151-B3,T00151,V0009,4990.92,False
T00151-B4,T00151,V0287,5157.75,False
T00152-B0,T00152,V0146,93580.69,False
T00152-B1,T00152,V0043,90423.86,False
T00152-B2,T00152,V0292,440000.0,True
T00152-B3,T00152,V0057,99292.21,False
T00153-B0,T00153,V0168,13393.53,True
T00153-B1,T00153,V0094,16185.02,False
T00153-B2,T00153,V0021,15498.49,False
T00153-B3,T00153,V0196,14095.56,False
T00153-B4,T00153,V0288,13578.58,False
T00154-B0,T00154,V0188,22419.41,True
T00154-B1,T00154,V0139,25516.81,False
T00154-B2,T00154,V0123,24623.5,False
T00154-B3,T00154,V0275,22840.2,False
T00154-B4,T00154,V0077,22452.41,False
T00155-B0,T00155,V0201,24643.39,False
T00155-B1,T00155,V0000,20570.03,False
T00155-B2,T00155,V0049,23447.0,False
T00155-B3,T00155,V0186,22581.55,False
T00155-B4,T00155,V0065,18357.16,True
T00155-B5,T00155,V0093,26357.14,False
T00155-B6,T00155,V0063,18961.27,False
T00156-B0,T00156,V0042,10708.22,True
T00156-B1,T00156,V0100,11978.65,False
T00157-B0,T00157,V0169,16699.46,False
T00157-B1,T00157,V0084,13721.2,False
T00157-B2,T00157,V0182,13621.87,True
T00158-B0,T00158,V0053,13692.94,False
T00158-B1,T00158,V0079,14332.57,False
T00158-B2,T00158,V0119,13305.34,True
T00158-B3,T00158,V0081,16437.78,False
T00159-B0,T00159,V0261,50319.21,False
T00159-B1,T00159,V0275,37716.8,True
T00160-B0,T00160,V0127,4422.63,True
T00160-B1,T00160,V0146,4985.52,False
T00160-B2,T00160,V0079,4572.03,False
T00161-B0,T00161,V0234,19824.67,False
T00161-B1,T00161,V0040,18744.68,True
T00162-B0,T00162,V0134,50000.0,True
T00162-B1,T00162,V0149,60360.74,False
T00162-B2,T00162,V0285,50424.21,False
T00163-B0,T00163,V0075,5836.8,False
T00163-B1,T00163,V0030,5643.2,False
T00163-B2,T00163,V0203,6079.14,False
T00163-B3,T00163,V0224,5219.83,False
T00163-B4,T00163,V0223,5000.0,True
T00163-B5,T00163,V0055,5246.14,False
T00163-B6,T00163,V0183,5659.88,False
T00164-B0,T00164,V0068,29375.83,True
T00164-B1,T00164,V0233,33918.13,False
T00164-B2,T00164,V0091,35649.58,False
T00165-B0,T00165,V0286,4891.37,False
T00165-B1,T00165,V0030,4475.6,True
T00165-B2,T00165,V0145,5307.31,False
T00166-B0,T00166,V0074,42054.51,False
T00166-B1,T00166,V0247,48217.65,False
T00166-B2,T00166,V0199,46032.85,False
T00166-B3,T00166,V0220,38819.34,True
T00166-B4,T00166,V0188,43773.08,False
T00167-B0,T00167,V0148,8534.86,True
T00167-B1,T00167,V0101,8535.82,False
T00168-B0,T00168,V0086,17520.95,True
T00168-B1,T00168,V0154,21300.77,False
T00168-B2,T00168,V0280,24402.5,False
T00168-B3,T00168,V0133,19461.29,False
T00168-B4,T00168,V0056,21067.93,False
T00170-B0,T00170,V0068,13503.42,False
T00170-B1,T00170,V0079,18007.18,False
T00170-B2,T00170,V0114,14649.79,False
T00170-B3,T00170,V0161,18090.6,False
T00170-B4,T00170,V0151,17012.37,False
T00170-B5,T00170,V0136,12332.33,True
T00171-B0,T00171,V0146,28735.77,False
T00171-B1,T00171,V0292,27062.81,True
T00172-B0,T00172,V0091,7212.29,True
T00172-B1,T00172,V0233,7504.13,False
T00172-B2,T00172,V0228,7866.27,False
T00172-B3,T00172,V0029,7305.64,False
T00173-B0,T00173,V0073,6870.18,True
T00173-B1,T00173,V0178,7108.77,False
T00174-B0,T00174,V0199,10377.76,False
T00174-B1,T00174,V0005,9498.67,False
