vendor_id,vendor_name,tax_id,bank_account,address,phone,registration_date,primary_category,is_ghost
V0014,Riverstone Supplies Group,6212975-5,PK25TMCB87095285567,"8 Davis Road, Islamabad",+92-376-4888836,2017-10-11,Construction,False
V0015,Crescent Logistics Ltd,6848618-6,PK17TMCB47422666194,"314 Mall Road, Karachi",+92-341-3968750,2020-12-11,Software Licenses,False
V0016,Riverstone Industrial Pvt Ltd,6288800-7,PK25TMCB93260810652,"395 Raiwind Rd, Islamabad",+92-336-6318238,2017-08-26,Hardware,False
V0017,Crescent Contractors LLC,5340730-4,PK79TMCB17445699992,"111 Model Town Link, Multan",+92-344-9440437,2016-06-13,Transport,False
V0018,Vertex Engineering Group,3402780-9,PK39TMCB56860516221,"340 Model Town Link, Karachi",+92-303-8436626,2015-02-02,Cleaning Services,False
V0019,Vertex Industrial LLC,5986324-3,PK19TMCB70501608372,"48 Canal Bank Rd, Karachi",+92-367-7542950,2023-06-13,Spare Parts,False
V0020,Blue Harbor Industrial & Co,9244105-9,PK30TMCB13367130055,"57 Raiwind Rd, Faisalabad",+92-333-8468106,2019-02-21,Cleaning Services,False
V0021,Halcyon Supplies Pvt Ltd,9576093-6,PK35TMCB56355141630,"362 Canal Bank Rd, Sialkot",+92-391-2481470,2019-10-19,Hardware,False
V0022,Blue Harbor Engineering Corp,9931379-1,PK89TMCB77374721750,"338 Empress Road, Karachi",+92-381-5669724,2019-03-24,Raw Materials,False
V0023,Apex Enterprises LLC,6954950-4,PK43TMCB18502000125,"294 Shahrah-e-Quaid, Islamabad",+92-320-9431317,2023-07-13,Consulting Services,False
V0024,Apex Industrial Ltd,8480013-8,PK23TMCB26134147734,"147 Multan Rd, Multan",+92-380-2767911,2017-07-11,Raw Materials,False
V0025,Halcyon Enterprises LLC,9746436-4,PK54TMCB22950775229,"373 Mall Road, Karachi",+92-322-2186399,2015-03-01,Construction,False
V0026,Halcyon Industrial LLC,5556968-9,PK71TMCB62300494829,"167 Gulberg Ave, Sialkot",+92-380-7438663,2015-10-05,Spare Parts,False
V0027,Onyx Industrial Inc,2113784-5,PK92TMCB45782037443,"389 Canal Bank Rd, Lahore",+92-345-6965777,2017-10-28,Security Services,False
V0028,Vertex Technologies Corp,9323274-4,PK12TMCB59967823808,"60 Multan Rd, Sialkot",+92-317-2263056,2021-09-27,Office Supplies,False
V0029,Apex Contractors Pvt Ltd,6364382-1,PK93TMCB82392482404,"173 Model Town Link, Faisalabad",+92-378-1160531,2020-12-21,Software Licenses,False
V0030,Blue Harbor Systems Pvt Ltd,8171352-4,PK30TMCB57769263153,"306 Multan Rd, Sialkot",+92-387-6427963,2017-08-10,Office Supplies,False
V0031,Crescent Supplies Corp,4832938-1,PK68TMCB88074156856,"110 Model Town Link, Faisalabad",+92-322-3129961,2023-12-14,Spare Parts,False
V0032,Trident Systems Corp,1947502-8,PK15TMCB63499029737,"143 Ferozepur Road, Karachi",+92-383-3793011,2023-04-24,Software Licenses,False
V0033,Cedarpoint Contractors & Co,2489785-1,PK35TMCB23825205567,"182 Ferozepur Road, Faisalabad",+92-307-1498558,2016-10-02,Software Licenses,False
V0034,Onyx Trading Inc,6320293-5,PK70TMCB45426741114,"331 Canal Bank Rd, Sialkot",+92-357-8875043,2022-02-18,Cleaning Services,False
V0035,Vertex Trading Inc,2633485-8,PK31TMCB32444881824,"257 Raiwind Rd, Sialkot",+92-342-1443287,2015-01-24,Raw Materials,False
V0036,Cedarpoint Logistics Corp,1915047-0,PK84TMCB14676567981,"162 Cavalry Ground, Multan",+92-308-8592173,2022-03-16,Security Services,False
V0037,Ironwood Contractors LLC,8218232-5,PK79TMCB67823494838,"246 Davis Road, Multan",+92-318-5824611,2017-11-27,Transport,False
V0038,Halcyon Systems Group,5165193-7,PK44TMCB67560694410,"100 Canal Bank Rd, Lahore",+92-314-5300894,2016-06-26,Office Supplies,False
V0039,Cobalt Technologies LLC,4307605-5,PK42TMCB39474600796,"174 Jail Road, Karachi",+92-362-3671887,2022-02-18,Security Services,False
V0040,Riverstone Contractors Group,5328193-7,PK39TMCB58189131084,"384 Empress Road, Islamabad",+92-362-8239525,2019-12-23,Transport,False
V0041,Falcon Solutions Ltd,3593400-1,PK75TMCB28216413381,"239 Shahrah-e-Quaid, Faisalabad",+92-389-2188925,2023-07-28,Construction,False
V0042,Granite Trading & Co,7531439-5,PK17TMCB94234584042,"289 Ferozepur Road, Sialkot",+92-391-8207956,2018-08-29,Transport,False
V0043,Pinnacle Enterprises Corp,8156032-9,PK94TMCB32804501845,"289 Multan Rd, Lahore",+92-305-6545490,2016-07-05,Software Licenses,False
V0044,Riverstone Logistics Group,7875309-9,PK81TMCB54293789401,"95 Multan Rd, Lahore",+92-398-2077602,2022-01-27,Software Licenses,False
V0045,Riverstone Trading Inc,6920768-7,PK47TMCB79688927451,"84 Shahrah-e-Quaid, Multan",+92-337-9085298,2022-05-09,Spare Parts,False
V0046,Granite Technologies Group,4277727-5,PK37TMCB24185048376,"384 Ferozepur Road, Lahore",+92-395-4941135,2021-08-21,Raw Materials,False
V0047,Crescent Enterprises Pvt Ltd,5976937-9,PK93TMCB80227134451,"245 Model Town Link, Lahore",+92-336-9879682,2015-01-17,Spare Parts,False
V0048,Trident Contractors LLC,2066307-2,PK85TMCB67336649558,"49 Ferozepur Road, Islamabad",+92-350-7174866,2019-11-25,Hardware,False
V0049,Meridian Engineering Group,8428594-4,PK36TMCB51269327361,"126 Model Town Link, Lahore",+92-335-9265976,2021-08-23,Spare Parts,False
V0050,Halcyon Trading Corp,7160460-2,PK79TMCB19577757868,"334 Multan Rd, Sialkot",+92-306-2228720,2020-11-06,Construction,False
V0051,Meridian Solutions Corp,8770992-0,PK31TMCB22871968764,"97 Empress Road, Multan",+92-381-1131153,2023-03-13,Consulting Services,False
V0052,Granite Contractors Ltd,1049260-0,PK23TMCB64533265987,"21 Cavalry Ground, Multan",+92-392-3590196,2022-08-24,Consulting Services,False
V0053,Meridian Solutions Group,9713764-9,PK20TMCB72830870557,"309 Davis Road, Sialkot",+92-340-5105748,2016-10-25,Software Licenses,False
V0054,Crescent Solutions Inc,5858547-7,PK58TMCB86601798977,"252 Model Town Link, Lahore",+92-387-1477233,2016-09-26,Hardware,False
V0055,Ironwood Trading & Co,5702977-9,PK76TMCB14905028349,"245 Mall Road, Faisalabad",+92-300-2972221,2022-12-16,Office Supplies,False
V0056,Riverstone Engineering Pvt Ltd,4340408-0,PK78TMCB98202446158,"74 Multan Rd, Islamabad",+92-357-3290335,2020-09-22,Cleaning Services,False
V0057,Cobalt Engineering Pvt Ltd,3234605-9,PK58TMCB62021549422,"121 Raiwind Rd, Multan",+92-326-4984094,2023-06-19,Software Licenses,False
V0058,Crescent Engineering Inc,7217876-4,PK91TMCB20729577357,"190 Cavalry Ground, Lahore",+92-392-1840683,2017-09-28,Construction,False
V0059,Silverline Enterprises & Co,4607055-6,PK96TMCB46790479848,"165 Empress Road, Karachi",+92-395-6414159,2017-11-08,Security Services,False
V0060,Apex Technologies LLC,5295478-4,PK23TMCB61521213980,"91 Jail Road, Faisalabad",+92-357-5923319,2020-10-30,Transport,False
V0061,Granite Solutions LLC,3216559-7,PK40TMCB48827637565,"220 Raiwind Rd, Faisalabad",+92-353-9655940,2019-08-13,Cleaning Services,False
V0062,Falcon Logistics Corp,2154411-9,PK85TMCB56824760326,"201 Canal Bank Rd, Multan",+92-323-5673623,2022-07-15,Raw Materials,False
V0063,Pinnacle Trading Ltd,1503525-0,PK87TMCB15001112521,"336 Mall Road, Karachi",+92-353-5388040,2016-07-22,Spare Parts,False
V0064,Blue Harbor Trading Group,9125094-0,PK48TMCB87089322120,"331 Jail Road, Islamabad",+92-371-3154791,2020-05-28,Construction,False
V0065,Crescent Logistics LLC,5515700-9,PK16TMCB79489440221,"398 Model Town Link, Karachi",+92-376-2296521,2021-05-07,Spare Parts,False
V0066,Northgate Contractors & Co,4002654-0,PK70TMCB57257947266,"84 Model Town Link, Lahore",+92-371-4759783,2022-07-11,Security Services,False
V0067,Halcyon Contractors Inc,2804324-8,PK81TMCB22743629971,"396 Raiwind Rd, Islamabad",+92-383-3957334,2015-09-21,Cleaning Services,False
V0068,Falcon Trading Inc,5317462-4,PK91TMCB26283398700,"61 Gulberg Ave, Sialkot",+92-390-6688826,2017-02-04,Software Licenses,False
V0069,Blue Harbor Industrial Inc,9960494-5,PK74TMCB17570380110,"197 Canal Bank Rd, Karachi",+92-388-8687091,2020-09-26,Transport,False
V0070,Granite Engineering & Co,8149983-7,PK64TMCB42994754643,"24 Shahrah-e-Quaid, Faisalabad",+92-383-9382547,2022-08-07,Raw Materials,False
V0071,Pinnacle Logistics Group,7202413-8,PK42TMCB91859701947,"202 Canal Bank Rd, Faisalabad",+92-318-4457961,2018-01-24,Transport,False
V0072,Pinnacle Systems Inc,5652951-1,PK11TMCB92560390528,"160 Multan Rd, Faisalabad",+92-331-1076920,2018-01-18,Raw Materials,False
V0073,Summit Technologies Ltd,6471641-9,PK71TMCB37678156517,"179 Ferozepur Road, Faisalabad",+92-350-4739693,2017-07-02,Software Licenses,False
V0074,Riverstone Logistics & Co,7421334-9,PK81TMCB52975528626,"248 Cavalry Ground, Multan",+92-369-5635709,2021-06-26,Consulting Services,False
V0075,Halcyon Solutions Group,5146638-8,PK16TMCB75917215268,"46 Davis Road, Islamabad",+92-365-9653705,2020-11-20,Office Supplies,False
V0076,Halcyon Industrial Corp,2386117-2,PK83TMCB77498518413,"293 Multan Rd, Islamabad",+92-301-3679994,2015-05-15,Transport,False
V0077,Falcon Contractors Inc,8875045-9,PK86TMCB98012528115,"186 Gulberg Ave, Islamabad",+92-307-6848533,2015-10-06,Consulting Services,False
V0078,Vertex Logistics Group,3394876-9,PK49TMCB13327365448,"329 Mall Road, Islamabad",+92-390-4320802,2015-12-26,Security Services,False
V0079,Riverstone Enterprises & Co,6913238-7,PK10TMCB76548832162,"346 Jail Road, Multan",+92-330-9170355,2017-02-09,Software Licenses,False
V0080,Granite Technologies Corp,4993751-0,PK94TMCB70955865942,"206 Raiwind Rd, Lahore",+92-374-7298356,2023-01-22,Construction,False
V0081,Riverstone Technologies Pvt Ltd,4735014-8,PK56TMCB86801020402,"139 Empress Road, Karachi",+92-375-5040746,2018-07-28,Software Licenses,False
V0082,Ironwood Logistics Corp,8797073-1,PK70TMCB40773424468,"34 Model Town Link, Multan",+92-348-5802225,2023-12-27,Construction,False
V0083,Blue Harbor Enterprises LLC,5807515-1,PK20TMCB99782203352,"230 Empress Road, Multan",+92-375-1542614,2018-07-13,Office Supplies,False
V0084,Cedarpoint Technologies Inc,4096598-1,PK19TMCB16045000196,"146 Jail Road, Karachi",+92-350-3716314,2019-01-29,Security Services,False
V0085,Granite Systems LLC,5047389-4,PK88TMCB77676680940,"383 Raiwind Rd, Faisalabad",+92-392-4120367,2023-01-27,Raw Materials,False
V0086,Ironwood Logistics LLC,9017859-9,PK37TMCB76808615446,"212 Gulberg Ave, Faisalabad",+92-366-1225093,2017-09-11,Cleaning Services,False
V0087,Ironwood Technologies LLC,2596490-1,PK40TMCB35492223992,"349 Mall Road, Faisalabad",+92-327-6265150,2022-01-20,Construction,False
V0088,Silverline Systems Inc,9549409-9,PK62TMCB83317459879,"270 Shahrah-e-Quaid, Sialkot",+92-327-5232482,2016-08-31,Software Licenses,False
V0089,Cobalt Supplies Ltd,4844316-6,PK38TMCB56145885786,"382 Cavalry Ground, Islamabad",+92-310-9442211,2023-08-21,Spare Parts,False
V0090,Meridian Technologies Ltd,1461236-2,PK60TMCB50960605816,"27 Canal Bank Rd, Faisalabad",+92-373-1427622,2015-06-17,Cleaning Services,False
V0091,Crescent Solutions LLC,7997653-0,PK89TMCB28631848737,"279 Cavalry Ground, Karachi",+92-343-3074952,2018-10-01,Software Licenses,False
V0092,Apex Technologies Ltd,4733009-8,PK24TMCB55735062022,"1 Canal Bank Rd, Islamabad",+92-303-4691210,2018-11-18,Transport,False
V0093,Onyx Engineering Group,5767618-2,PK30TMCB31823456772,"129 Empress Road, Islamabad",+92-386-4000172,2017-01-20,Spare Parts,False
V0094,Blue Harbor Technologies Corp,5343668-0,PK54TMCB74040223742,"184 Gulberg Ave, Lahore",+92-360-3871143,2016-03-30,Hardware,False
V0095,Cedarpoint Trading Ltd,9396025-1,PK82TMCB19956652080,"13 Shahrah-e-Quaid, Faisalabad",+92-342-1799739,2020-02-15,Consulting Services,False
V0096,Cobalt Solutions Group,5445864-0,PK34TMCB65720717777,"341 Model Town Link, Lahore",+92-387-9956649,2022-09-13,Consulting Services,False
V0097,Ironwood Technologies Corp,6012416-4,PK96TMCB98618458024,"241 Mall Road, Islamabad",+92-378-2336364,2017-11-12,Transport,False
V0098,Onyx Industrial & Co,3667985-2,PK55TMCB38587207092,"166 Davis Road, Lahore",+92-380-7623060,2018-02-12,Raw Materials,False
V0099,Apex Enterprises Pvt Ltd,6932410-7,PK85TMCB76472234780,"283 Davis Road, Karachi",+92-318-2331459,2020-05-05,Consulting Services,False
V0100,Riverstone Solutions Ltd,2556495-7,PK55TMCB99259702832,"106 Mall Road, Sialkot",+92-305-9937760,2020-03-14,Transport,False
V0101,Northgate Industrial & Co,9075718-0,PK88TMCB58258037179,"66 Multan Rd, Karachi",+92-327-1454677,2019-01-09,Transport,False
V0102,Crescent Technologies LLC,6972588-9,PK84TMCB11634448952,"21 Multan Rd, Lahore",+92-328-8864995,2022-07-20,Consulting Services,False
V0103,Granite Solutions Pvt Ltd,5981867-5,PK45TMCB70985868723,"213 Shahrah-e-Quaid, Multan",+92-352-7825799,2021-06-16,Security Services,False
V0104,Crescent Engineering Corp,5631246-9,PK11TMCB81642570067,"144 Raiwind Rd, Islamabad",+92-349-1846647,2021-12-13,Cleaning Services,False
V0105,Granite Supplies Pvt Ltd,7143233-4,PK23TMCB96539466657,"106 Gulberg Ave, Multan",+92-319-8730844,2023-11-07,Security Services,False
V0106,Pinnacle Systems Group,6799911-8,PK67TMCB56531753815,"152 Ferozepur Road, Multan",+92-367-5805481,2022-01-17,Security Services,False
V0107,Cobalt Engineering Ltd,8008095-9,PK72TMCB81828769222,"346 Raiwind Rd, Lahore",+92-302-4879220,2021-09-10,Office Supplies,False
V0108,Apex Technologies Corp,9892200-3,PK81TMCB89881397963,"288 Multan Rd, Islamabad",+92-363-4132814,2020-06-23,Transport,False
V0109,Cobalt Supplies LLC,1091728-6,PK61TMCB52087623095,"374 Mall Road, Karachi",+92-333-4264172,2018-07-19,Spare Parts,False
V0110,Crescent Supplies Pvt Ltd,3770159-6,PK14TMCB95940855266,"136 Shahrah-e-Quaid, Karachi",+92-310-5255918,2021-10-12,Transport,False
V0111,Trident Supplies Pvt Ltd,5302464-2,PK96TMCB56981107122,"75 Mall Road, Islamabad",+92-342-2151714,2015-05-29,Hardware,False
V0112,Pinnacle Trading Corp,3202724-6,PK69TMCB19962286662,"198 Gulberg Ave, Karachi",+92-312-3814184,2021-11-18,Raw Materials,False
V0113,Trident Enterprises Corp,1947021-9,PK64TMCB95769921948,"392 Multan Rd, Lahore",+92-341-9471516,2017-09-27,Consulting Services,False
V0114,Vertex Engineering Ltd,8348446-8,PK76TMCB58812796206,"247 Raiwind Rd, Lahore",+92-302-5089001,2016-06-10,Software Licenses,False
V0115,Trident Supplies & Co,5716253-7,PK75TMCB43412737337,"119 Empress Road, Islamabad",+92-317-1271451,2021-12-13,Hardware,False
V0116,Summit Solutions Corp,4676298-1,PK30TMCB19035608108,"358 Jail Road, Karachi",+92-318-6559404,2016-08-12,Construction,False
V0117,Silverline Trading Inc,2667086-2,PK88TMCB86620118445,"284 Raiwind Rd, Sialkot",+92-373-5813815,2019-10-11,Spare Parts,False
V0118,Ironwood Supplies Pvt Ltd,3665285-1,PK13TMCB89918994573,"376 Mall Road, Multan",+92-335-3539987,2019-06-01,Office Supplies,False
V0119,Vertex Supplies Inc,8429124-4,PK42TMCB21309746758,"53 Gulberg Ave, Sialkot",+92-304-8508702,2023-07-31,Software Licenses,False
V0120,Crescent Supplies Inc,9638267-2,PK24TMCB12704912088,"102 Jail Road, Lahore",+92-319-1014954,2017-11-22,Security Services,False
V0121,Cobalt Trading Inc,9738512-4,PK57TMCB26851505015,"213 Empress Road, Sialkot",+92-318-8352185,2021-09-03,Raw Materials,False
V0122,Pinnacle Systems Pvt Ltd,8458704-9,PK70TMCB14509602072,"137 Cavalry Ground, Islamabad",+92-307-6918023,2020-08-08,Hardware,False
V0123,Falcon Solutions Group,8445969-2,PK28TMCB49419064262,"369 Canal Bank Rd, Faisalabad",+92-370-5973741,2023-12-10,Consulting Services,False
V0124,Blue Harbor Systems Ltd,4577690-4,PK81TMCB23709403914,"52 Davis Road, Faisalabad",+92-343-2378568,2023-04-19,Construction,False
V0125,Blue Harbor Engineering Group,7476081-4,PK36TMCB63972582103,"264 Mall Road, Islamabad",+92-369-5730067,2018-01-31,Transport,False
V0126,Summit Trading & Co,9875650-8,PK61TMCB50466941957,"17 Canal Bank Rd, Sialkot",+92-377-3499777,2023-12-05,Office Supplies,False
V0127,Vertex Enterprises & Co,2550583-3,PK42TMCB42970193969,"379 Shahrah-e-Quaid, Multan",+92-334-9048642,2020-01-21,Software Licenses,False
V0128,Riverstone Logistics Inc,7525937-9,PK39TMCB68236461832,"168 Jail Road, Islamabad",+92-364-5179310,2018-12-17,Consulting Services,False
V0129,Crescent Systems Ltd,3923909-6,PK21TMCB69661874278,"262 Canal Bank Rd, Lahore",+92-383-8245054,2016-10-12,Software Licenses,False
V0130,Onyx Contractors Corp,7761214-2,PK91TMCB21642652311,"267 Empress Road, Karachi",+92-371-3524850,2017-07-20,Consulting Services,False
V0131,Riverstone Contractors Corp,7673952-2,PK95TMCB73125199111,"217 Davis Road, Sialkot",+92-356-7709750,2017-04-18,Raw Materials,False
V0132,Granite Trading LLC,7461961-9,PK56TMCB71688494867,"160 Raiwind Rd, Lahore",+92-354-7307214,2022-11-16,Security Services,False
V0133,Cobalt Supplies Inc,2588154-9,PK85TMCB38999410643,"341 Empress Road, Faisalabad",+92-374-4984931,2020-09-09,Cleaning Services,False
V0134,Northgate Systems Pvt Ltd,4625447-9,PK94TMCB85899059717,"369 Cavalry Ground, Sialkot",+92-307-9970710,2021-11-18,Consulting Services,False
V0135,Falcon Industrial Inc,6636047-4,PK72TMCB68033727491,"96 Multan Rd, Karachi",+92-332-5155993,2020-04-10,Raw Materials,False
V0136,Silverline Technologies Pvt Ltd,6916943-8,PK35TMCB25092956770,"344 Jail Road, Lahore",+92-303-5090161,2022-03-06,Software Licenses,False
V0137,Trident Technologies Ltd,7299033-7,PK63TMCB45105633113,"47 Model Town Link, Sialkot",+92-321-9513110,2016-05-21,Hardware,False
V0138,Silverline Engineering & Co,8899611-9,PK35TMCB16267657293,"392 Cavalry Ground, Lahore",+92-357-3244943,2017-06-08,Office Supplies,False
V0139,Trident Technologies & Co,5073324-1,PK73TMCB25872074200,"333 Ferozepur Road, Islamabad",+92-355-3192903,2019-07-05,Consulting Services,False
V0140,Apex Contractors Ltd,9994796-0,PK55TMCB18567917826,"273 Shahrah-e-Quaid, Lahore",+92-393-3864937,2017-09-03,Office Supplies,False
V0141,Summit Engineering Pvt Ltd,1462772-3,PK69TMCB41800392555,"130 Davis Road, Multan",+92-389-8391076,2023-06-06,Office Supplies,False
V0142,Silverline Supplies Pvt Ltd,7739386-7,PK81TMCB54213170174,"89 Empress Road, Karachi",+92-315-8911618,2023-03-30,Hardware,False
V0143,Blue Harbor Industrial LLC,5804559-2,PK16TMCB14752639125,"91 Mall Road, Lahore",+92-348-7971614,2015-11-21,Hardware,False
V0144,Northgate Solutions Group,8408145-3,PK24TMCB23217736133,"26 Empress Road, Karachi",+92-385-5850475,2019-02-03,Cleaning Services,False
V0145,Apex Trading LLC,4550333-5,PK75TMCB33170676338,"131 Davis Road, Karachi",+92-355-7752393,2021-06-06,Office Supplies,False
V0146,Blue Harbor Supplies LLC,2972702-6,PK28TMCB77634172950,"384 Ferozepur Road, Multan",+92-303-2586622,2016-06-17,Software Licenses,False
V0147,Apex Systems Ltd,4586559-6,PK98TMCB22349013201,"395 Multan Rd, Karachi",+92-349-4536263,2016-08-26,Cleaning Services,False
V0148,Halcyon Contractors Corp,8855729-4,PK27TMCB29871812908,"189 Multan Rd, Sialkot",+92-322-7612525,2015-01-22,Transport,False
V0149,Falcon Logistics LLC,8456921-3,PK73TMCB12391998849,"212 Mall Road, Sialkot",+92-363-5375728,2020-07-28,Consulting Services,False
V0150,Blue Harbor Engineering Pvt Ltd,7821192-1,PK83TMCB60510076109,"63 Jail Road, Multan",+92-321-5697265,2016-06-18,Raw Materials,False
V0151,Pinnacle Logistics & Co,7089870-8,PK15TMCB10096071852,"4 Gulberg Ave, Faisalabad",+92-387-6816616,2022-01-01,Software Licenses,False
V0152,Trident Systems Ltd,5229602-8,PK52TMCB94198774944,"190 Mall Road, Islamabad",+92-324-6271941,2019-03-05,Software Licenses,False
V0153,Blue Harbor Solutions Ltd,2926830-8,PK18TMCB28628664367,"42 Model Town Link, Faisalabad",+92-310-2212228,2020-11-11,Cleaning Services,False
V0154,Summit Supplies LLC,4246827-2,PK14TMCB42163266114,"137 Canal Bank Rd, Sialkot",+92-364-2848512,2022-03-18,Cleaning Services,False
V0155,Apex Contractors & Co,1898479-7,PK19TMCB20379379429,"184 Multan Rd, Islamabad",+92-311-8671440,2023-08-31,Spare Parts,False
V0156,Meridian Systems & Co,5734544-1,PK98TMCB13975759264,"10 Jail Road, Lahore",+92-334-9537808,2015-10-11,Transport,False
V0157,Cedarpoint Systems Corp,2533070-8,PK97TMCB54877559218,"212 Model Town Link, Karachi",+92-399-4426590,2022-03-31,Raw Materials,False
V0158,Onyx Logistics Inc,2152473-6,PK38TMCB27388749019,"392 Ferozepur Road, Multan",+92-380-6303979,2020-03-12,Raw Materials,False
V0159,Riverstone Engineering Inc,4883670-8,PK66TMCB93409245233,"321 Cavalry Ground, Multan",+92-337-3963361,2017-06-09,Office Supplies,False
V0160,Halcyon Logistics LLC,5156360-2,PK68TMCB59895912103,"148 Canal Bank Rd, Sialkot",+92-330-4407334,2019-10-16,Hardware,False
V0161,Falcon Contractors LLC,8769326-2,PK79TMCB77998558821,"225 Raiwind Rd, Karachi",+92-358-9735930,2023-05-07,Software Licenses,False
V0162,Cobalt Industrial & Co,9931020-0,PK68TMCB45323626083,"378 Ferozepur Road, Sialkot",+92-395-9810051,2015-01-16,Construction,False
V0163,Cedarpoint Logistics Ltd,1238791-3,PK76TMCB86693080335,"96 Model Town Link, Karachi",+92-344-1049257,2020-02-10,Spare Parts,False
V0164,Cedarpoint Supplies Corp,8908871-9,PK43TMCB60857011956,"24 Canal Bank Rd, Multan",+92-314-7974170,2016-05-07,Office Supplies,False
V0165,Summit Logistics Pvt Ltd,9688742-0,PK95TMCB87007790952,"340 Gulberg Ave, Sialkot",+92-359-8903325,2020-03-20,Raw Materials,False
V0166,Crescent Industrial LLC,8298665-5,PK52TMCB60795341231,"255 Cavalry Ground, Multan",+92-369-4824814,2023-06-01,Raw Materials,False
V0167,Crescent Engineering Ltd,2065591-8,PK80TMCB85394517235,"28 Canal Bank Rd, Multan",+92-337-8869007,2015-08-06,Hardware,False
V0168,Cedarpoint Logistics Inc,5173080-4,PK71TMCB24705253013,"251 Shahrah-e-Quaid, Lahore",+92-337-6568432,2016-03-24,Hardware,False
V0169,Cobalt Engineering Corp,5700257-9,PK29TMCB22566128875,"230 Gulberg Ave, Islamabad",+92-331-1871291,2019-08-11,Security Services,False
V0170,Onyx Engineering Corp,3206507-0,PK61TMCB88426817805,"261 Empress Road, Faisalabad",+92-334-2203703,2018-11-17,Raw Materials,False
V0171,Apex Technologies Inc,4324086-9,PK52TMCB13635930595,"383 Gulberg Ave, Multan",+92-353-5698761,2023-02-16,Raw Materials,False
V0172,Apex Supplies Corp,7855995-8,PK91TMCB15384190358,"47 Mall Road, Sialkot",+92-391-7499520,2019-10-25,Hardware,False
V0173,Cedarpoint Systems Inc,7370995-3,PK80TMCB15680545363,"178 Gulberg Ave, Sialkot",+92-323-8121479,2016-09-14,Transport,False
V0174,Blue Harbor Industrial Corp,2799073-0,PK69TMCB73705950495,"347 Raiwind Rd, Multan",+92-319-6571995,2022-07-31,Raw Materials,False
V0175,Cedarpoint Solutions Ltd,9306112-7,PK36TMCB58914603556,"218 Cavalry Ground, Sialkot",+92-329-4941508,2021-05-05,Spare Parts,False
V0176,Pinnacle Engineering Inc,8762942-3,PK34TMCB45235615751,"20 Empress Road, Faisalabad",+92-370-6113845,2022-01-07,Spare Parts,False
V0177,Pinnacle Industrial Corp,8516447-6,PK17TMCB24177100718,"15 Empress Road, Karachi",+92-329-8364338,2016-12-19,Raw Materials,False
V0178,Vertex Solutions Corp,8840131-9,PK13TMCB14420587937,"95 Jail Road, Lahore",+92-390-2335638,2016-10-03,Software Licenses,False
V0179,Ironwood Logistics & Co,6633905-7,PK27TMCB82052525859,"345 Multan Rd, Faisalabad",+92-386-9539587,2016-02-24,Raw Materials,False
V0180,Crescent Trading Inc,3033360-4,PK48TMCB95112428663,"339 Jail Road, Karachi",+92-371-5864289,2018-10-22,Software Licenses,False
V0181,Granite Industrial & Co,2458845-4,PK81TMCB74971610155,"92 Empress Road, Karachi",+92-379-7867167,2016-09-09,Cleaning Services,False
V0182,Meridian Logistics Inc,5779714-5,PK12TMCB49300074040,"203 Canal Bank Rd, Sialkot",+92-304-5613379,2019-04-21,Security Services,False
