tender_id,po_id,award_date,vendor_id,employee_id,department,category,award_method,amount,n_bidders,approval_limit,invoice_id,invoice_date,payment_date
T00021,PO00021,2025-10-09,V0134,E0017,IT,Consulting Services,open_tender,103038.91,3,25000,INV00021,2025-10-29,2025-11-23
T00022,PO00022,2024-03-11,V0274,E0055,Marketing,Cleaning Services,limited_tender,6076.02,3,500000,INV00022,2024-03-18,2024-05-15
T00023,PO00023,2025-12-12,V0184,E0035,Facilities,Construction,limited_tender,92853.49,2,500000,INV00023,2025-12-28,2026-01-21
T00024,PO00024,2024-07-13,V0151,E0041,Admin,Software Licenses,limited_tender,9355.34,3,100000,INV00024,2024-08-06,2024-08-16
T00025,PO00025,2026-02-20,V0203,E0007,IT,Office Supplies,open_tender,7000.0,7,100000,INV00025,2026-03-19,2026-04-11
T00026,PO00026,2023-12-20,V0196,E0048,Maintenance,Hardware,open_tender,12036.48,3,100000,INV00026,2024-01-21,2024-03-19
T00027,PO00027,2024-09-28,V0190,E0045,IT,Raw Materials,open_tender,114473.63,7,25000,INV00027,2024-10-24,2024-11-09
T00028,PO00028,2025-02-16,V0230,E0025,Logistics,Hardware,open_tender,55267.94,3,25000,INV00028,2025-03-12,2025-03-28
T00029,PO00029,2024-06-15,V0053,E0001,R&D,Software Licenses,open_tender,42000.0,7,500000,INV00029,2024-06-22,2024-08-10
T00030,PO00030,2024-02-04,V0070,E0018,Production,Raw Materials,open_tender,41539.96,3,500000,INV00030,2024-03-13,2024-04-16
T00031,PO00031,2025-03-07,V0041,E0016,Maintenance,Construction,open_tender,42511.41,3,25000,INV00031,2025-04-16,2025-05-05
T00032,PO00032,2024-06-25,V0205,E0006,IT,Construction,limited_tender,73866.0,3,500000,INV00032,2024-07-15,2024-08-08
T00033,PO00033,2026-01-31,V0187,E0021,Production,Transport,open_tender,38180.25,5,500000,INV00033,2026-02-28,2026-04-05
T00034,PO00034,2023-11-29,V0133,E0002,Maintenance,Cleaning Services,open_tender,12769.49,7,100000,INV00034,2024-01-07,2024-02-05
T00035,PO00035,2025-01-28,V0204,E0041,Admin,Consulting Services,open_tender,56759.25,7,100000,INV00035,2025-03-07,2025-05-05
T00037,PO00037,2024-11-02,V0025,E0052,Production,Construction,limited_tender,421000.0,3,100000,INV00037,2024-11-16,2024-12-25
T00038,PO00038,2023-07-22,V0150,E0035,Facilities,Raw Materials,open_tender,38000.0,4,500000,INV00038,2023-08-23,2023-09-03
T00039,PO00039,2023-08-02,V0053,E0002,Maintenance,Software Licenses,limited_tender,27000.0,2,100000,INV00039,2023-08-07,2023-09-05
T00040,PO00040,2024-12-10,V0175,E0017,IT,Spare Parts,limited_tender,2528.67,2,25000,INV00040,2024-12-27,2025-01-29
T00041,PO00041,2024-07-06,V0260,E0024,Production,Raw Materials,open_tender,7715.97,5,25000,INV00041,2024-08-08,2024-09-13
T00042,PO00042,2024-07-06,V0210,E0036,Marketing,Raw Materials,limited_tender,104000.0,2,25000,INV00042,2024-07-26,2024-09-04
T00043,PO00043,2023-11-13,V0120,E0038,Production,Security Services,open_tender,28156.93,6,100000,INV00043,2023-12-27,2024-02-05
T00044,PO00044,2026-04-16,V0147,E0052,Production,Cleaning Services,open_tender,6972.52,3,100000,INV00044,2026-04-27,2026-05-07
T00045,PO00045,2024-03-09,V0162,E0009,Facilities,Construction,limited_tender,91120.73,3,500000,INV00045,2024-03-26,2024-05-07
T00046,PO00046,2024-03-23,V0030,E0028,Marketing,Office Supplies,single_source,18515.66,1,25000,INV00046,2024-05-01,2024-05-18
T00047,PO00047,2024-10-11,V0281,E0031,Admin,Consulting Services,limited_tender,143340.7,3,500000,INV00047,2024-11-05,2024-12-01
T00048,PO00048,2025-04-15,V0019,E0048,Maintenance,Spare Parts,open_tender,47670.93,7,100000,INV00048,2025-05-05,2025-06-28
T00049,PO00049,2024-03-07,V0103,E0048,Maintenance,Security Services,open_tender,4271.45,4,100000,INV00049,2024-04-13,2024-05-06
T00050,PO00050,2024-04-01,V0172,E0007,IT,Hardware,open_tender,32175.91,5,100000,INV00050,2024-04-15,2024-05-12
T00051,PO00051,2024-03-25,V0192,E0009,Facilities,Cleaning Services,single_source,16634.63,1,500000,INV00051,2024-04-10,2024-05-07
T00052,PO00052,2025-10-03,V0175,E0033,Facilities,Spare Parts,limited_tender,5938.0,3,500000,INV00052,2025-11-15,2025-11-28
T00053,PO00053,2024-03-15,V0220,E0012,Marketing,Consulting Services,open_tender,165448.37,7,100000,INV00053,2024-04-04,2024-05-28
T00054,PO00054,2024-06-30,V0082,E0025,Logistics,Construction,open_tender,112458.91,7,25000,INV00054,2024-07-10,2024-09-04
T00055,PO00055,2023-10-07,V0222,E0034,Marketing,Consulting Services,open_tender,111000.0,4,500000,INV00055,2023-10-19,2023-11-09
T00056,PO00056,2025-04-09,V0294,E0036,Marketing,Construction,open_tender,68000.0,3,25000,INV00056,2025-04-15,2025-04-29
T00057,PO00057,2024-01-17,V0272,E0009,Facilities,Construction,limited_tender,913399.32,3,500000,INV00057,2024-02-21,2024-03-22
T00058,PO00058,2025-04-26,V0296,E0048,Maintenance,Cleaning Services,open_tender,27051.31,7,100000,INV00058,2025-05-10,2025-06-12
T00059,PO00059,2024-02-08,V0039,E0043,Admin,Security Services,open_tender,10282.64,6,25000,INV00059,2024-02-23,2024-03-22
T00060,PO00060,2024-09-14,V0258,E0020,IT,Office Supplies,open_tender,2188.71,4,500000,INV00060,2024-09-22,2024-10-16
T00061,PO00061,2025-06-24,V0194,E0037,IT,Construction,single_source,257994.24,1,500000,INV00061,2025-07-31,2025-09-09
T00062,PO00062,2024-12-19,V0020,E0004,Facilities,Cleaning Services,single_source,5295.86,1,25000,INV00062,2025-01-26,2025-03-11
T00063,PO00063,2023-11-07,V0079,E0055,Marketing,Software Licenses,open_tender,15000.0,7,500000,INV00063,2023-12-08,2023-12-20
T00064,PO00064,2026-01-06,V0263,E0009,Facilities,Office Supplies,limited_tender,16851.3,3,500000,INV00064,2026-01-16,2026-01-29
T00065,PO00065,2025-03-01,V0178,E0016,Maintenance,Software Licenses,limited_tender,74394.63,3,25000,INV00065,2025-03-07,2025-04-17
T00066,PO00066,2023-09-24,V0087,E0037,IT,Construction,limited_tender,457751.23,3,500000,INV00066,2023-10-16,2023-12-08
T00067,PO00067,2024-08-12,V0239,E0038,Production,Transport,limited_tender,20349.1,2,100000,INV00067,2024-09-15,2024-10-20
T00068,PO00068,2025-07-05,V0066,E0016,Maintenance,Security Services,open_tender,7692.91,4,25000,INV00068,2025-08-07,2025-09-13
T00069,PO00069,2025-12-11,V0188,E0019,IT,Consulting Services,open_tender,17246.53,5,500000,INV00069,2025-12-20,2026-01-25
T00070,PO00070,2025-01-11,V0193,E0011,R&D,Office Supplies,single_source,2624.51,2,25000,INV00070,2025-01-21,2025-02-27
T00071,PO00071,2025-01-04,V0083,E0011,R&D,Office Supplies,limited_tender,3005.19,3,500000,INV00071,2025-02-04,2025-02-15
T00072,PO00072,2026-02-01,V0147,E0028,Marketing,Cleaning Services,open_tender,40936.18,5,25000,INV00072,2026-03-12,2026-04-30
T00073,PO00073,2025-11-20,V0102,E0035,Facilities,Consulting Services,open_tender,22578.06,5,500000,INV00073,2025-11-28,2026-01-14
T00074,PO00074,2023-11-22,V0090,E0005,Maintenance,Cleaning Services,open_tender,27671.14,7,25000,INV00074,2024-01-03,2024-02-15
T00075,PO00075,2025-05-15,V0298,E0009,Facilities,Software Licenses,open_tender,10063.37,5,500000,INV00075,2025-05-28,2025-06-17
T00076,PO00076,2026-02-19,V0054,E0014,IT,Hardware,open_tender,30000.0,4,25000,INV00076,2026-04-04,2026-05-26
T00077,PO00077,2024-05-25,V0063,E0027,Maintenance,Spare Parts,open_tender,3160.27,4,100000,INV00077,2024-06-20,2024-08-18
T00078,PO00078,2026-06-08,V0057,E0010,Admin,Software Licenses,open_tender,8690.73,7,100000,INV00078,2026-06-20,2026-07-09
T00079,PO00079,2026-03-07,V0176,E0000,Production,Spare Parts,single_source,18110.69,1,500000,INV00079,2026-03-29,2026-04-30
T00080,PO00080,2024-10-07,V0073,E0056,Marketing,Software Licenses,open_tender,7590.57,6,100000,INV00080,2024-11-13,2025-01-02
T00081,PO00081,2023-10-14,V0181,E0054,Logistics,Cleaning Services,open_tender,7143.6,3,25000,INV00081,2023-10-20,2023-11-07
T00082,PO00082,2026-02-19,V0131,E0022,Admin,Raw Materials,limited_tender,27544.18,2,100000,INV00082,2026-04-01,2026-05-04
T00083,PO00083,2024-02-04,V0026,E0006,IT,Spare Parts,limited_tender,19528.43,2,500000,INV00083,2024-02-21,2024-03-23
T00084,PO00084,2024-12-17,V0148,E0017,IT,Transport,open_tender,52113.89,4,25000,INV00084,2025-01-11,2025-03-10
T00085,PO00085,2025-04-12,V0187,E0019,IT,Transport,single_source,18518.33,1,500000,INV00085,2025-05-22,2025-06-03
T00086,PO00086,2023-08-23,V0181,E0031,Admin,Cleaning Services,limited_tender,8631.16,3,500000,INV00086,2023-09-14,2023-10-31
T00087,PO00087,2023-10-16,V0127,E0042,IT,Software Licenses,open_tender,36000.0,6,500000,INV00087,2023-11-17,2023-12-30
T00088,PO00088,2023-08-04,V0139,E0027,Maintenance,Consulting Services,open_tender,39055.35,4,100000,INV00088,2023-08-18,2023-09-12
T00089,PO00089,2025-03-01,V0149,E0059,Facilities,Consulting Services,limited_tender,55955.13,2,25000,INV00089,2025-04-14,2025-06-07
T00090,PO00090,2025-06-13,V0242,E0041,Admin,Raw Materials,single_source,39418.38,1,100000,INV00090,2025-06-22,2025-07-13
T00091,PO00091,2026-03-06,V0183,E0004,Facilities,Office Supplies,open_tender,3000.0,6,25000,INV00091,2026-03-15,2026-04-20
T00092,PO00092,2024-04-10,V0007,E0026,Maintenance,Spare Parts,limited_tender,6000.0,2,500000,INV00092,2024-04-19,2024-05-08
T00094,PO00094,2024-11-12,V0264,E0023,Logistics,Cleaning Services,open_tender,6000.0,7,25000,INV00094,2024-12-21,2025-02-11
T00095,PO00095,2025-03-26,V0071,E0001,R&D,Transport,single_source,15514.16,1,500000,INV00095,2025-05-08,2025-07-03
T00096,PO00096,2023-11-16,V0000,E0041,Admin,Spare Parts,open_tender,4025.78,5,100000,INV00096,2023-12-23,2024-02-19
T00097,PO00097,2026-03-16,V0283,E0057,Production,Security Services,single_source,8245.4,2,100000,INV00097,2026-04-26,2026-05-15
T00098,PO00098,2024-01-07,V0089,E0004,Facilities,Spare Parts,limited_tender,14252.27,2,25000,INV00098,2024-02-04,2024-02-23
T00099,PO00099,2023-07-15,V0072,E0059,Facilities,Raw Materials,open_tender,53488.28,4,25000,INV00099,2023-08-14,2023-10-03
T00100,PO00100,2023-07-19,V0168,E0047,Logistics,Hardware,open_tender,13000.0,7,25000,INV00100,2023-08-22,2023-10-18
T00101,PO00101,2023-09-29,V0009,E0001,R&D,Spare Parts,limited_tender,4808.24,3,500000,INV00101,2023-10-13,2023-11-14
T00102,PO00102,2024-03-18,V0037,E0049,R&D,Transport,open_tender,7916.66,3,500000,INV00102,2024-04-19,2024-06-05
T00103,PO00103,2025-04-14,V0235,E0032,R&D,Security Services,single_source,20701.67,1,25000,INV00103,2025-04-23,2025-06-07
T00104,PO00104,2024-10-08,V0048,E0025,Logistics,Hardware,open_tender,36860.46,4,25000,INV00104,2024-11-10,2024-11-30
T00105,PO00105,2025-01-14,V0079,E0028,Marketing,Software Licenses,single_source,93806.77,1,25000,INV00105,2025-01-25,2025-02-10
T00106,PO00106,2025-05-01,V0113,E0045,IT,Consulting Services,limited_tender,56432.99,2,25000,INV00106,2025-05-13,2025-06-30
T00107,PO00107,2024-12-01,V0100,E0044,R&D,Transport,open_tender,18505.92,3,100000,INV00107,2024-12-21,2025-01-11
T00108,PO00108,2025-07-11,V0004,E0009,Facilities,Construction,limited_tender,222677.43,3,500000,INV00108,2025-08-05,2025-08-27
T00109,PO00109,2025-11-27,V0071,E0022,Admin,Transport,open_tender,23383.41,3,100000,INV00109,2026-01-07,2026-02-05
T00110,PO00110,2025-03-06,V0131,E0014,IT,Raw Materials,open_tender,116322.33,4,25000,INV00110,2025-03-15,2025-04-22
T00111,PO00111,2025-07-14,V0050,E0058,Admin,Construction,limited_tender,27641.59,2,25000,INV00111,2025-07-24,2025-09-04
T00112,PO00112,2026-02-02,V0072,E0024,Production,Raw Materials,single_source,26077.02,1,25000,INV00112,2026-02-13,2026-04-08
T00113,PO00113,2024-10-06,V0021,E0014,IT,Hardware,open_tender,5976.23,7,25000,INV00113,2024-11-18,2025-01-05
T00114,PO00114,2023-07-06,V0235,E0032,R&D,Security Services,limited_tender,26446.66,2,25000,INV00114,2023-07-21,2023-08-04
T00115,PO00115,2024-11-13,V0159,E0046,R&D,Office Supplies,open_tender,3112.7,3,25000,INV00115,2024-12-03,2025-01-20
T00116,PO00116,2025-02-14,V0020,E0030,Logistics,Cleaning Services,open_tender,10977.3,7,100000,INV00116,2025-03-07,2025-04-17
T00117,PO00117,2026-04-04,V0004,E0019,IT,Construction,open_tender,68457.11,6,500000,INV00117,2026-04-10,2026-05-13
T00118,PO00118,2024-07-12,V0134,E0017,IT,Consulting Services,limited_tender,23000.0,2,25000,INV00118,2024-07-27,2024-08-24
T00119,PO00119,2026-04-05,V0041,E0042,IT,Construction,open_tender,209664.89,7,500000,INV00119,2026-05-03,2026-06-11
T00120,PO00120,2025-02-13,V0299,E0004,Facilities,Construction,limited_tender,128537.02,3,25000,INV00120,2025-03-20,2025-05-12
T00121,PO00121,2024-11-08,V0252,E0029,Production,Security Services,open_tender,6786.27,6,25000,INV00121,2024-12-07,2024-12-22
T00122,PO00122,2025-06-04,V0073,E0058,Admin,Software Licenses,open_tender,42965.29,7,25000,INV00122,2025-06-29,2025-07-16
T00123,PO00123,2024-01-04,V0011,E0026,Maintenance,Construction,open_tender,681357.77,4,500000,INV00123,2024-01-16,2024-02-23
T00124,PO00124,2025-11-13,V0080,E0059,Facilities,Construction,open_tender,140252.47,7,25000,INV00124,2025-12-22,2026-01-06
T00125,PO00125,2025-07-12,V0124,E0024,Production,Construction,open_tender,6103.75,7,25000,INV00125,2025-07-22,2025-09-08
T00126,PO00126,2023-12-31,V0240,E0043,Admin,Hardware,open_tender,17105.84,5,25000,INV00126,2024-01-24,2024-03-14
T00127,PO00127,2024-10-23,V0173,E0005,Maintenance,Transport,open_tender,46119.89,5,25000,INV00127,2024-11-19,2025-01-05
T00128,PO00128,2024-09-13,V0289,E0016,Maintenance,Security Services,open_tender,27750.46,6,25000,INV00128,2024-10-24,2024-12-02
T00129,PO00129,2024-03-03,V0196,E0012,Marketing,Hardware,limited_tender,8746.62,2,100000,INV00129,2024-03-09,2024-05-04
T00130,PO00130,2024-09-16,V0077,E0011,R&D,Consulting Services,open_tender,109710.07,5,500000,INV00130,2024-09-23,2024-10-29
T00131,PO00131,2026-05-05,V0266,E0039,Maintenance,Hardware,open_tender,12887.61,5,100000,INV00131,2026-05-10,2026-07-05
T00132,PO00132,2023-12-25,V0275,E0054,Logistics,Consulting Services,single_source,5165.2,1,25000,INV00132,2024-01-11,2024-03-01
T00133,PO00133,2024-03-11,V0049,E0001,R&D,Spare Parts,single_source,5107.05,1,500000,INV00133,2024-03-23,2024-04-29
T00134,PO00134,2025-09-06,V0017,E0045,IT,Transport,open_tender,40477.82,5,25000,INV00134,2025-10-04,2025-10-15
T00135,PO00135,2024-11-29,V0270,E0000,Production,Consulting Services,open_tender,83591.53,4,100000,INV00135,2024-12-30,2025-02-17
T00136,PO00136,2024-09-13,V0136,E0054,Logistics,Software Licenses,open_tender,1692.44,5,25000,INV00136,2024-09-18,2024-09-28
T00137,PO00137,2023-08-07,V0042,E0018,Production,Transport,limited_tender,2000.0,2,500000,INV00137,2023-08-20,2023-09-05
T00138,PO00138,2023-11-12,V0071,E0056,Marketing,Transport,limited_tender,13606.77,3,100000,INV00138,2023-12-22,2024-01-20
T00139,PO00139,2025-01-21,V0149,E0014,IT,Consulting Services,limited_tender,31847.52,2,25000,INV00139,2025-02-22,2025-04-01
T00140,PO00140,2025-08-06,V0179,E0040,IT,Raw Materials,open_tender,85121.8,4,25000,INV00140,2025-09-14,2025-10-17
T00141,PO00141,2026-06-15,V0037,E0026,Maintenance,Transport,limited_tender,17850.61,2,500000,INV00141,2026-07-10,2026-09-02
T00142,PO00142,2024-03-29,V0279,E0010,Admin,Cleaning Services,limited_tender,2037.48,3,100000,INV00142,2024-04-30,2024-06-22
T00143,PO00143,2023-10-19,V0209,E0019,IT,Hardware,limited_tender,27482.43,2,500000,INV00143,2023-11-09,2023-11-28
T00144,PO00144,2025-06-24,V0086,E0020,IT,Cleaning Services,open_tender,7472.15,4,500000,INV00144,2025-07-30,2025-09-04
T00145,PO00145,2025-06-19,V0171,E0011,R&D,Raw Materials,open_tender,4842.39,7,500000,INV00145,2025-07-21,2025-09-02
T00146,PO00146,2024-07-09,V0134,E0042,IT,Consulting Services,open_tender,109616.36,3,500000,INV00146,2024-07-14,2024-09-02
T00147,PO00147,2025-01-12,V0136,E0004,Facilities,Software Licenses,limited_tender,10370.86,3,25000,INV00147,2025-01-25,2025-03-15
T00148,PO00148,2024-11-08,V0074,E0009,Facilities,Consulting Services,open_tender,16090.63,4,500000,INV00148,2024-11-13,2025-01-09
T00149,PO00149,2024-04-11,V0059,E0028,Marketing,Security Services,limited_tender,7569.97,2,25000,INV00149,2024-05-16,2024-06-29
T00150,PO00150,2026-01-24,V0056,E0039,Maintenance,Cleaning Services,open_tender,12049.44,6,100000,INV00150,2026-02-18,2026-03-16
T00151,PO00151,2025-11-02,V0117,E0036,Marketing,Spare Parts,open_tender,4149.26,5,25000,INV00151,2025-11-27,2025-12-17
T00152,PO00152,2026-05-24,V0292,E0009,Facilities,Software Licenses,open_tender,440000.0,4,500000,INV00152,2026-06-04,2026-07-11
T00153,PO00153,2024-10-17,V0168,E0016,Maintenance,Hardware,open_tender,13393.53,5,25000,INV00153,2024-10-27,2024-11-26
T00154,PO00154,2026-03-28,V0188,E0020,IT,Consulting Services,open_tender,22419.41,5,500000,INV00154,2026-04-30,2026-06-28
T00155,PO00155,2026-03-13,V0065,E0024,Production,Spare Parts,open_tender,18357.16,7,25000,INV00155,2026-04-12,2026-06-02
T00156,PO00156,2025-09-29,V0042,E0017,IT,Transport,limited_tender,10708.22,2,25000,INV00156,2025-11-03,2025-12-23
T00157,PO00157,2024-04-09,V0182,E0046,R&D,Security Services,open_tender,13621.87,3,25000,INV00157,2024-05-06,2024-06-10
T00158,PO00158,2025-01-25,V0119,E0058,Admin,Software Licenses,open_tender,13305.34,4,25000,INV00158,2025-02-01,2025-03-20
T00159,PO00159,2025-03-30,V0275,E0055,Marketing,Consulting Services,limited_tender,37716.8,2,500000,INV00159,2025-05-09,2025-06-20
T00160,PO00160,2023-09-23,V0127,E0013,Logistics,Software Licenses,open_tender,4422.63,3,100000,INV00160,2023-10-10,2023-11-04
T00161,PO00161,2025-06-01,V0040,E0044,R&D,Transport,limited_tender,18744.68,2,100000,INV00161,2025-07-04,2025-08-27
T00162,PO00162,2025-02-23,V0134,E0002,Maintenance,Consulting Services,open_tender,50000.0,3,100000,INV00162,2025-03-15,2025-04-30
T00163,PO00163,2024-04-19,V0223,E0031,Admin,Office Supplies,open_tender,5000.0,7,500000,INV00163,2024-05-07,2024-06-02
T00164,PO00164,2025-10-12,V0068,E0055,Marketing,Software Licenses,open_tender,29375.83,3,500000,INV00164,2025-11-22,2025-12-05
T00165,PO00165,2025-11-21,V0030,E0007,IT,Office Supplies,open_tender,4475.6,3,100000,INV00165,2025-12-13,2025-12-23
T00166,PO00166,2025-05-28,V0220,E0054,Logistics,Consulting Services,open_tender,38819.34,5,25000,INV00166,2025-06-24,2025-07-24
T00167,PO00167,2024-08-29,V0148,E0012,Marketing,Transport,limited_tender,8534.86,2,100000,INV00167,2024-09-13,2024-10-10
T00168,PO00168,2024-04-06,V0086,E0025,Logistics,Cleaning Services,open_tender,17520.95,5,25000,INV00168,2024-04-12,2024-06-03
T00169,PO00169,2025-03-12,V0193,E0011,R&D,Office Supplies,limited_tender,8069.32,1,25000,INV00169,2025-04-15,2025-06-03
T00170,PO00170,2026-04-27,V0136,E0006,IT,Software Licenses,open_tender,12332.33,6,500000,INV00170,2026-06-01,2026-07-07
T00171,PO00171,2026-05-19,V0292,E0020,IT,Software Licenses,limited_tender,27062.81,2,500000,INV00171,2026-05-31,2026-07-14
T00172,PO00172,2025-11-16,V0091,E0020,IT,Software Licenses,open_tender,7212.29,4,500000,INV00172,2025-12-16,2026-02-02
T00173,PO00173,2024-10-31,V0073,E0026,Maintenance,Software Licenses,limited_tender,6870.18,2,500000,INV00173,2024-11-11,2024-12-04
T00174,PO00174,2024-08-15,V0270,E0049,R&D,Consulting Services,open_tender,9494.19,4,500000,INV00174,2024-08-22,2024-09-27
T00175,PO00175,2025-05-18,V0294,E0039,Maintenance,Construction,single_source,93383.88,1,100000,INV00175,2025-06-15,2025-07-15
T00176,PO00176,2024-03-15,V0168,E0038,Production,Hardware,open_tender,55476.03,3,100000,INV00176,2024-04-06,2024-05-27
T00177,PO00177,2023-12-24,V0071,E0001,R&D,Transport,limited_tender,51456.13,3,500000,INV00177,2024-01-06,2024-01-29
T00178,PO00178,2023-07-06,V0094,E0014,IT,Hardware,open_tender,48449.59,6,25000,INV00178,2023-07-29,2023-09-08
T00179,PO00179,2025-10-05,V0189,E0023,Logistics,Spare Parts,open_tender,27396.74,3,25000,INV00179,2025-10-19,2025-12-03
T00180,PO00180,2025-10-14,V0128,E0043,Admin,Consulting Services,open_tender,47940.02,5,25000,INV00180,2025-11-19,2025-11-30
T00181,PO00181,2024-04-16,V0160,E0021,Production,Hardware,limited_tender,9963.51,2,500000,INV00181,2024-04-24,2024-05-07
T00182,PO00182,2024-12-02,V0212,E0007,IT,Raw Materials,limited_tender,68120.73,2,100000,INV00182,2024-12-17,2024-12-30
T00183,PO00183,2024-01-09,V0094,E0000,Production,Hardware,limited_tender,39695.92,3,100000,INV00183,2024-01-21,2024-02-02
T00184,PO00184,2025-06-06,V0189,E0006,IT,Spare Parts,open_tender,4333.19,6,500000,INV00184,2025-06-13,2025-07-30
T00185,PO00185,2025-10-25,V0142,E0001,R&D,Hardware,open_tender,16574.25,3,500000,INV00185,2025-12-04,2026-01-27
T00186,PO00186,2024-06-04,V0280,E0014,IT,Cleaning Services,limited_tender,11505.03,2,25000,INV00186,2024-06-21,2024-07-31
T00187,PO00187,2026-02-09,V0138,E0006,IT,Office Supplies,limited_tender,13506.56,3,500000,INV00187,2026-03-17,2026-04-13
T00188,PO00188,2023-08-26,V0188,E0006,IT,Consulting Services,open_tender,78019.96,7,500000,INV00188,2023-09-11,2023-10-13
T00189,PO00189,2025-03-24,V0290,E0017,IT,Consulting Services,open_tender,154090.65,6,25000,INV00189,2025-04-09,2025-04-30
T00190,PO00190,2026-04-08,V0281,E0039,Maintenance,Consulting Services,open_tender,122807.68,7,100000,INV00190,2026-05-20,2026-07-11
T00191,PO00191,2024-03-09,V0219,E0019,IT,Hardware,single_source,29473.19,1,500000,INV00191,2024-04-17,2024-05-26
T00192,PO00192,2023-09-14,V0059,E0019,IT,Security Services,limited_tender,3502.86,2,500000,INV00192,2023-09-30,2023-10-23
T00193,PO00193,2024-01-13,V0060,E0035,Facilities,Transport,open_tender,57027.11,4,500000,INV00193,2024-02-09,2024-03-16
T00194,PO00194,2025-11-05,V0231,E0032,R&D,Office Supplies,open_tender,3000.0,5,25000,INV00194,2025-11-21,2026-01-01
T00195,PO00195,2026-02-16,V0199,E0026,Maintenance,Consulting Services,limited_tender,103097.89,2,500000,INV00195,2026-03-17,2026-04-07
T00196,PO00196,2025-01-12,V0009,E0025,Logistics,Spare Parts,open_tender,5006.24,3,25000,INV00196,2025-01-27,2025-03-09
T00197,PO00197,2026-06-20,V0237,E0047,Logistics,Hardware,limited_tender,18854.45,3,25000,INV00197,2026-07-12,2026-08-09
T00198,PO00198,2023-12-21,V0252,E0017,IT,Security Services,single_source,4000.0,1,25000,INV00198,2023-12-31,2024-01-24
T00199,PO00199,2024-07-19,V0068,E0031,Admin,Software Licenses,open_tender,6070.14,3,500000,INV00199,2024-08-19,2024-09-09
T00200,PO00200,2026-01-21,V0050,E0030,Logistics,Construction,open_tender,106574.9,7,100000,INV00200,2026-02-11,2026-03-01
T00201,PO00201,2023-08-17,V0240,E0044,R&D,Hardware,open_tender,8720.52,4,100000,INV00201,2023-08-25,2023-10-12
T00202,PO00202,2025-06-01,V0299,E0003,Marketing,Construction,limited_tender,175610.39,3,25000,INV00202,2025-06-10,2025-07-26
T00203,PO00203,2025-10-20,V0242,E0045,IT,Raw Materials,open_tender,105472.86,3,25000,INV00203,2025-11-20,2025-12-06
